

 Females then males 
"year","month","fleet","sex","partition","Ntows","Nsamps","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
1978,7,"NTWL.C",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,"NTWL.C",3,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0,0,0,0
1980,7,"NTWL.C",3,0,4,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214,0,0.0428,0.0448,0.002,0.006,0.002,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0234,0.7692,0.0254,0.0468,0,0,0,0,0,0,0
1981,7,"NTWL.C",3,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0,0,0,0,0,0,0,0
1982,7,"NTWL.C",3,0,4,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0.0266,0.1864,0.1065,0.0266,0.0533,0.1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384,0.0533,0.0533,0.0533,0.0799,0.0533,0.0858,0.0266,0,0,0,0,0,0,0
1983,7,"NTWL.C",3,0,2,6,3,0,0,0,0,0,0,0,0,0.1667,0,0.1667,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0
1984,7,"NTWL.C",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,"NTWL.C",3,0,9,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0741,0,0.1858,0.0168,0.0412,0.0394,0.0741,0.0244,0.0741,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458,0,0,0.0458,0,0.0412,0.0872,0.0244,0.1207,0.0525,0.0227,0,0,0,0,0,0,0,0
1986,7,"NTWL.C",3,0,10,17,12,0,0,0,0,0,0,0,0,0,0,0.2048,0,0,0.1024,0,0,0.1184,0.016,0,0,0.0451,0,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1024,0,0.1024,0.016,0.1024,0,0.0385,0.0971,0,0,0,0,0,0,0
1987,7,"NTWL.C",3,0,12,115,28,0,0,0,0,0,0,0,0,0,0,0.0046,0.0268,0.0697,0.0516,0.0092,0.0878,0.0517,0.036,0.0072,0.0145,0.0087,0,0,0,0.0014,0,0,0,0,0,0,0,0.0383,0,0,0,0,0,0,0.08,0.0616,0.0724,0.1231,0.0974,0.1217,0.0128,0.0107,0.0079,0.0051,0,0,0,0,0,0,0
1988,7,"NTWL.C",3,0,6,61,14,0,0,0,0,0,0,0,0,0,0,0,0.0374,0.0205,0.0096,0.0774,0.0586,0.0191,0.0285,0.0584,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379,0.0568,0.1297,0.0379,0.0977,0.1866,0.1059,0.0286,0,0,0,0,0,0,0,0,0
1989,7,"NTWL.C",3,0,15,242,48,0,0,0,0,0,0,0,0,0,0,0.0036,0.0255,0.1189,0.0553,0.0574,0.0666,0.0498,0.0738,0.0209,0.0078,0.0235,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0012,0.0157,0.0404,0.0456,0.0794,0.0707,0.0588,0.0442,0.0824,0.0491,0.0062,0,0,0,0,0,0,0,0
1990,7,"NTWL.C",3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0
1991,7,"NTWL.C",3,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5373,0,0.2536,0,0,0,0,0,0,0.2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,"NTWL.C",3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6205,0,0,0,0,0.0447,0,0,0,0,0,0,0,0,0,0
1993,7,"NTWL.C",3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,7,"NTWL.C",3,0,2,49,9,0,0,0,0,0,0,0,0,0,0,0,0.025,0.053,0.1061,0.1416,0.0782,0.0485,0.0712,0.0105,0.0327,0.0105,0.0117,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.053,0.1001,0.0781,0.1178,0.0222,0,0,0,0,0,0,0,0,0,0,0
1998,7,"NTWL.C",3,0,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0.1176,0.0845,0.3006,0.1337,0.0884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884,0.1376,0.0493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,"NTWL.C",3,0,2,36,7,0,0,0,0,0,0,0,0,0,0,0,0.0148,0,0.0457,0.076,0.4377,0.0457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309,0.0457,0.2124,0.076,0.0148,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,"NTWL.C",3,0,4,24,7,0,0,0,0,0,0,0,0,0,0,0.0417,0,0.0417,0.0417,0.0417,0.0417,0.2083,0.125,0.0417,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0.0417,0.0833,0.0833,0.0833,0,0,0,0,0,0,0,0,0,0,0
2001,7,"NTWL.C",3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"NTWL.C",3,0,3,22,6,0,0,0,0,0,0,0,0,0.0455,0.1364,0.0455,0.0455,0.0455,0.1818,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.1818,0.0455,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,"NTWL.C",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"NTWL.C",3,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,"NTWL.C",3,0,15,232,47,0,0,0,0,0,0,0.0046,0,0.0096,0.035,0.0365,0.0556,0.0398,0.0626,0.0424,0.037,0.0666,0.0217,0.0869,0.0921,0.0177,0.016,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0.0094,0.008,0.0499,0.0211,0.0338,0.0232,0.0219,0.0679,0.0639,0.0221,8e-04,0.0373,8e-04,0,0,0,0,0,0,0
2021,7,"NTWL.C",3,0,20,435,80,0,0,0,0,0,0,0.0031,0.0019,0.0054,0.0092,0.0097,0.0391,0.08,0.1277,0.0798,0.0607,0.0743,0.0635,0.0304,0.054,0.0106,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,5e-04,0.0016,0.0116,0.0252,0.0784,0.0434,0.0484,0.0259,0.0415,0.0381,0.0081,0.0037,0.0074,0.0037,0,0,0,0,0,0
2022,7,"NTWL.C",3,0,14,267,51,0,0,0,0,0,0,0,0,0.0131,0.0358,0.0186,0.0861,0.1226,0.1459,0.1085,0.0626,0.013,0.0185,0.0033,0.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0.0187,0.02,0.0526,0.0554,0.1243,0.0325,0.0114,0.0164,0.0122,0.0016,0.0039,0.0074,0,0,0,0,0,0,0
1988,7,"NTWL.O",3,0,3,287,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0282,0.0545,0.0687,0.1273,0.0904,0.0668,0.0042,0.031,0.0198,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0091,0.0231,0.0391,0.042,0.1049,0.1605,0.0818,0.0161,0,0,0,0,0
1990,7,"NTWL.O",3,0,1,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.03,0.08,0.1,0.09,0.09,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.08,0.06,0.17,0.11,0.05,0,0,0,0,0,0
1996,7,"NTWL.O",3,0,1,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0,0.0811,0.1081,0.1351,0.0541,0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0.027,0.0541,0.1081,0.027,0.027,0.0811,0.0541,0.027,0,0,0.027,0,0,0,0
1997,7,"NTWL.O",3,0,11,538,78,0,0,0,0,0,0,0,0,0.0018,0,0.0055,0.0044,0.008,0.0351,0.0366,0.0686,0.048,0.0248,0.0614,0.0291,0.0249,0.0258,0.0147,0.0129,0.0036,0,0,0,0,0,0,0,0,0,0.0018,0.0018,0.0015,0.0029,0.0077,0.015,0.0419,0.061,0.0796,0.0545,0.0412,0.0518,0.0546,0.056,0.0407,0.0506,0.0141,0.009,0,0.009,0,0
1998,7,"NTWL.O",3,0,8,335,54,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0212,0.0325,0.0436,0.0589,0.0525,0.0164,0.0418,0.0044,0.0055,0.0036,0.0152,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.0021,0.0043,0.0181,0.016,0.0271,0.0309,0.0824,0.0676,0.0917,0.0763,0.0713,0.0993,0.0576,0.0289,0.0156,0,0,0,0,0
1999,7,"NTWL.O",3,0,5,168,28,0,0,0,0,0,0,0,0.0032,0,0.004,0.0253,0.0219,0.0254,0.0256,0.0812,0.0555,0.0482,0.0468,0.0173,0.0175,0.0133,0.0236,0,0.0168,0,0.0168,0.0336,0,0,0,0,0,0,0,0,0.0032,0,0,0.0132,0.0234,0.0138,0.0555,0.0488,0.0878,0.0575,0.0685,0.0437,0.0139,0.0201,0.0073,0,0.0168,0.0168,0,0.0168,0.0168
2000,7,"NTWL.O",3,0,24,176,48,0,0,0,0,0,0,0,0.0112,0.0168,0.0839,0.0648,0.0392,0.0783,0.0906,0.0682,0.0518,0.0119,0.0168,0.0112,0.006,0.0112,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.028,0.0336,0.0839,0.0679,0.0686,0.0402,0.041,0.029,0.0116,0.0063,0.0112,0,0,0.006,0,0,0,0,0
2001,7,"NTWL.O",3,0,29,191,55,0,0,0,0,0,0,0,0.0048,0.0288,0.0348,0.0604,0.0688,0.1115,0.0499,0.0799,0.0528,0.0313,0.0419,0.0119,0.0101,0.0171,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0.0205,0.0445,0.0511,0.0442,0.0288,0.0477,0.0359,0.0287,0.0521,0.0107,0,0,0,0.0103,0.0055,0,0,0,0
2017,7,"NTWL.O",3,0,125,514,196,0,0,0,0,0,0,0,0,0.0113,0.0494,0.0865,0.0772,0.0996,0.0626,0.0309,0.0047,0.0175,0.0232,0.0316,0.0136,0.0069,0.0163,0.0067,0.0089,0,0.0016,0,0,0,0,0,0,0,0,0,0.0032,0.0157,0.0306,0.0559,0.1302,0.0814,0.036,0.0223,0.0168,0.0136,0.0086,0.0275,0.0016,0.0047,0.0031,0,0,0,0,0,0
2018,7,"NTWL.O",3,0,117,419,175,0,0,0,0,0,0,0,0.0026,0.0048,0.0259,0.0519,0.0926,0.1217,0.0963,0.0859,0.0278,0.0106,0.0129,0.0043,0.0088,0.0043,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0025,0.0441,0.0391,0.0926,0.1218,0.0927,0.0263,0.011,0.0043,0,0.0108,0,0,0,0,0,0,0,0,0
2019,7,"NTWL.O",3,0,173,815,285,0,0,0,0,0,0,0,9e-04,0.0069,0.0175,0.0502,0.1007,0.1021,0.0742,0.0535,0.0343,0.0087,0.0141,0.0074,0.0089,0.0208,0.015,0.0062,0,0.001,0,0,0,0,0,0,0,0,0,0.0024,0.0047,0.0341,0.0154,0.0537,0.0894,0.1025,0.081,0.0366,0.0126,0.0082,0.0143,0.0092,0.0087,0.0018,9e-04,0.001,9e-04,0,0,0,0
2020,7,"NTWL.O",3,0,69,289,109,0,0,0,0,0,0,0,0,0.0061,0.0133,0.0343,0.0438,0.0575,0.0578,0.0534,0.0299,0.0092,0.0756,0.0746,0.0918,0.059,0.0153,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0117,0.0291,0.0296,0.0524,0.0375,0.0372,0.0148,0.0036,0.0604,0.0182,0.0516,0.005,0,0,0,0,0,0,0
2021,7,"NTWL.O",3,0,112,299,153,0,0,0,0,0,0,0,0,0,0.0182,0.0377,0.0409,0.0551,0.0314,0.0192,0.0205,0.013,0.1424,0.1825,0.0223,0.059,0.0067,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.0288,0.029,0.0274,0.05,0.0316,0.0167,0.0337,0.0205,0.0916,0.0019,0.0019,0.0018,0,0.0018,0,0,0.0018,0
2022,7,"NTWL.O",3,0,124,430,183,0,0,0,0,0,0,0,0.0028,0.0018,0.0105,0.0412,0.0521,0.055,0.0301,0.0253,0.0393,0.0532,0.0238,0.0685,0.1168,0.0548,0.0106,0.0192,0.0028,8e-04,0,0,0,0,0,0,0,0,0,0,0.0018,0.0018,0.0054,0.0186,0.052,0.0144,0.013,0.0248,0.0505,0.0825,0.0967,0.0199,0.0055,9e-04,8e-04,0.0027,0,0,0,0,0
1980,7,"NTWL.W",3,0,1,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.1364,0.1364,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0,0,0,0.2273,0.1818,0,0.1818,0,0,0,0,0,0
2002,7,"NTWL.W",3,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0.25,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
2004,7,"NTWL.W",3,0,3,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456,0.0912,0.0456,0,0.091,0.1363,0,0.0454,0.0454,0.0907,0.0454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454,0,0.0456,0.0456,0.0454,0.0456,0.0907,0,0,0.0454,0,0,0,0,0,0
2006,7,"NTWL.W",3,0,1,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857,0.2571,0.1429,0.0286,0.0857,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,0.0571,0.1429,0.1143,0,0,0,0,0,0,0
2007,7,"NTWL.W",3,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.1667,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0
2010,7,"NTWL.W",3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0.3333,0,0,0,0,0,0
