"year","O_or_ora_F_N","O_or_ora_M_N","O_or_ora_U_N","W_wa_sport_F_N","W_wa_sport_M_N","W_wa_sport_U_N","O_or_ora_F_ntrip","O_or_ora_M_ntrip","O_or_ora_U_ntrip","W_wa_sport_F_ntrip","W_wa_sport_M_ntrip","W_wa_sport_U_ntrip"
1999,237,156,0,0,0,0,37,37,0,0,0,0
2000,250,117,0,0,0,0,27,28,0,0,0,0
2004,0,0,0,28,12,0,0,0,0,6,4,0
2005,0,0,0,34,7,3,0,0,0,5,3,2
2006,0,0,0,4,0,0,0,0,0,2,0,0
2007,0,0,0,4,3,0,0,0,0,2,2,0
2008,0,0,0,6,3,0,0,0,0,4,2,0
2009,0,0,0,5,3,0,0,0,0,2,2,0
2010,0,0,0,8,3,0,0,0,0,2,1,0
2011,0,0,0,0,1,0,0,0,0,0,1,0
2012,0,0,0,2,5,0,0,0,0,2,2,0
2014,0,0,0,5,3,0,0,0,0,3,1,0
2015,172,141,2,3,2,0,94,86,2,2,2,0
2016,158,97,4,1,2,1,79,65,3,1,2,1
2017,132,104,2,702,490,1,71,71,2,73,76,1
2018,103,89,0,152,129,4,75,59,0,24,22,2
2019,107,93,1,231,166,1,73,64,1,21,21,1
2020,139,96,6,287,137,0,64,48,4,28,23,0
2021,359,250,7,540,281,2,111,100,4,38,41,2
2022,240,206,3,513,419,6,107,101,3,49,40,5
