"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1","M23.1","M24.1","M25.1","M26.1","M27.1","M28.1","M29.1","M30.1","M31.1","M32.1","M33.1","M34.1","M35.1"
1980,"7","Enter Fleet",2,0,"1",34,34,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",36,36,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",38,38,3,0,0,0,0,33.3333333333333,0,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",40,40,3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",42,42,10,0,0,0,0,0,0,0,50,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",44,44,14,0,0,0,0,0,0,0,7.14285714285714,21.4285714285714,28.5714285714286,21.4285714285714,14.2857142857143,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,21.4285714285714,28.5714285714286,21.4285714285714,14.2857142857143,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",46,46,25,0,0,0,0,0,0,0,0,4,28,24,20,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,24,20,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",48,48,36,0,0,0,0,0,0,0,0,0,2.77777777777778,11.1111111111111,36.1111111111111,25,19.4444444444444,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,11.1111111111111,36.1111111111111,25,19.4444444444444,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",50,50,52,0,0,0,0,0,0,0,0,0,3.84615384615385,7.69230769230769,15.3846153846154,28.8461538461538,17.3076923076923,13.4615384615385,7.69230769230769,1.92307692307692,1.92307692307692,0,1.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,7.69230769230769,15.3846153846154,28.8461538461538,17.3076923076923,13.4615384615385,7.69230769230769,1.92307692307692,1.92307692307692,0,1.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7","Enter Fleet",2,0,"1",52,52,24,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33333333333333,20.8333333333333,12.5,4.16666666666667,16.6666666666667,8.33333333333333,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33333333333333,20.8333333333333,12.5,4.16666666666667,16.6666666666667,8.33333333333333,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
