"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1","F16.1","F17.1","F18.1","F19.1","F20.1","F21.1","F22.1","F23.1","F24.1","F25.1","F26.1","F27.1","F28.1","F29.1","F30.1","F31.1","F32.1","F33.1","F34.1","F35.1"
2003,"7","Enter Fleet",1,0,"1","Enter","Enter",46,0,0,4.35883914664293,3.27301573754302,2.51997293252334,0,1.43102518067845,1.43102518067845,3.5379752430129,1.43102518067845,3.6597484065852,5.34011137900868,3.99428169074189,3.74052409706495,1.43102518067845,0,0,0,0.68011607314315,0,0,0,1.04695963349174,0,0,1.43102518067845,0,0,0,0,0,0,0,0,0,0,0,4.35883914664293,3.27301573754302,2.51997293252334,0,1.43102518067845,1.43102518067845,3.5379752430129,1.43102518067845,3.6597484065852,5.34011137900868,3.99428169074189,3.74052409706495,1.43102518067845,0,0,0,0.68011607314315,0,0,0,1.04695963349174,0,0,1.43102518067845,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,"1","Enter","Enter",32,0,0,1.98403610558956,0,11.9043214453975,0.471076905178282,13.9004109148975,2.33877184606701,0,4.84796777664173,6.46395703552231,1.61598925888058,3.31016816538892,2.92524660920531,0.654602472197344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98403610558956,0,11.9043214453975,0.471076905178282,13.9004109148975,2.33877184606701,0,4.84796777664173,6.46395703552231,1.61598925888058,3.31016816538892,2.92524660920531,0.654602472197344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","Enter Fleet",1,0,"1","Enter","Enter",60,1.37699075003867,1.79020339757751,0,0,0,0,0,1.7112543889416,3.40865807461374,5.93987409710728,6.43757603458982,2.93496402279826,7.19590203859268,0,1.84514452054636,1.81975156455236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37699075003867,1.79020339757751,0,0,0,0,0,1.7112543889416,3.40865807461374,5.93987409710728,6.43757603458982,2.93496402279826,7.19590203859268,0,1.84514452054636,1.81975156455236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,"1","Enter","Enter",30,0,0,2.58792691991706,0,0,0,0,0,6.1319979656508,3.31325065529518,0,9.09980047728962,3.33281170533234,3.31325065529518,0,6.19107233676304,3.31325065529518,3.16654278001643,0,0,0,0,0,0,0,0,0,0,0,0,3.31325065529518,0,0,0,0,0,0,2.58792691991706,0,0,0,0,0,6.1319979656508,3.31325065529518,0,9.09980047728962,3.33281170533234,3.31325065529518,0,6.19107233676304,3.31325065529518,3.16654278001643,0,0,0,0,0,0,0,0,0,0,0,0,3.31325065529518,0,0,0,0
2007,"7","Enter Fleet",1,0,"1","Enter","Enter",57,0,1.06921791980987,6.41506401671399,8.55337810526111,6.41506401671399,1.06921791980987,2.96305585452208,1.06921791980987,0.80392233255575,5.59227026790106,0.898766418132144,0.898766418132144,1.93145901615393,0.956598177629945,2.55859879125535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06921791980987,6.41506401671399,8.55337810526111,6.41506401671399,1.06921791980987,2.96305585452208,1.06921791980987,0.80392233255575,5.59227026790106,0.898766418132144,0.898766418132144,1.93145901615393,0.956598177629945,2.55859879125535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7","Enter Fleet",1,0,"1","Enter","Enter",43,4.59916852139588,15.637124979753,0,0,1.54607027374003,1.96348933055774,1.55790054652021,5.18125153727556,5.40761048886863,6.35842367014416,4.10359287544019,4.73081330125802,2.73572058479462,0.683924147074527,0,1.79205835947952,0,0,0.683924147074527,0,0.223719336976801,0,0,0.20303435698388,0.22115171185007,0,0,0,0,0,0,0,0,0,0,4.59916852139588,15.637124979753,0,0,1.54607027374003,1.96348933055774,1.55790054652021,5.18125153727556,5.40761048886863,6.35842367014416,4.10359287544019,4.73081330125802,2.73572058479462,0.683924147074527,0,1.79205835947952,0,0,0.683924147074527,0,0.223719336976801,0,0,0.20303435698388,0.22115171185007,0,0,0,0,0,0,0,0,0,0
2009,"7","Enter Fleet",1,0,"1","Enter","Enter",20,0,11.5208412391999,0,0,0,0,0,4.53343012863876,0,2.6343722329467,4.53343012863876,0,0,0,5.23134627970543,0,0,0,0,0,5.23134627970543,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0,0,11.5208412391999,0,0,0,0,0,4.53343012863876,0,2.6343722329467,4.53343012863876,0,0,0,5.23134627970543,0,0,0,0,0,5.23134627970543,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,"1","Enter","Enter",51,0,0,14.4770293782114,0,1.00602208034494,2.01213660896046,10.1914973476591,5.16129449766383,4.45905743441257,1.5357506707122,1.22438489543176,1.80671655175347,0,0,1.72083210839375,1.28031609912673,0,0,1.27319758229283,0.800879367949664,0.640204273698652,0.640204273698652,1.28031609912673,0,0,0.640204273698652,0,0,0,0,0,0,0,0,0,0,0,14.4770293782114,0,1.00602208034494,2.01213660896046,10.1914973476591,5.16129449766383,4.45905743441257,1.5357506707122,1.22438489543176,1.80671655175347,0,0,1.72083210839375,1.28031609912673,0,0,1.27319758229283,0.800879367949664,0.640204273698652,0.640204273698652,1.28031609912673,0,0,0.640204273698652,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",1,0,"1","Enter","Enter",40,0,0.774765691009811,5.09060148077469,17.0746464525988,15.2718378517976,2.38263001380145,0.867777665299217,3.77597210709874,0.867777665299217,0.354775199345976,0,0,0,0,0,0.354775199345976,0.748906758502627,0,0,0.331455386826578,0,0.318893424781744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774765691009811,5.09060148077469,17.0746464525988,15.2718378517976,2.38263001380145,0.867777665299217,3.77597210709874,0.867777665299217,0.354775199345976,0,0,0,0,0,0.354775199345976,0.748906758502627,0,0,0.331455386826578,0,0.318893424781744,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",1,0,"1","Enter","Enter",46,0,2.23596613069853,0,0.484938619839727,14.8919672164599,2.14352455799593,1.46392714389233,3.43965221468274,2.81329886863474,1.56481563648253,3.00055474434543,0.496042997669504,1.73541494544856,0.496042997669504,2.70496000288524,2.48030989755974,0.496042997669504,1.48817644761462,0.496042997669504,0.978988524052604,0.496042997669504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23596613069853,0,0.484938619839727,14.8919672164599,2.14352455799593,1.46392714389233,3.43965221468274,2.81329886863474,1.56481563648253,3.00055474434543,0.496042997669504,1.73541494544856,0.496042997669504,2.70496000288524,2.48030989755974,0.496042997669504,1.48817644761462,0.496042997669504,0.978988524052604,0.496042997669504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
