"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M.999.1","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1","M23.1","M24.1","M25.1","M26.1","M27.1","M28.1","M29.1","M30.1","M31.1","M32.1","M33.1","M34.1","M35.1"
2003,"7","Enter Fleet",2,0,"1","Enter","Enter",46,0,1.08894775184489,0,6.54610767856762,2.18414418917972,0,1.05343692942643,3.35722058469407,7.29610234432391,5.71061270647333,8.71493496794882,3.60480569636266,8.57814971850434,8.92899054772014,2.58291700831228,1.04695963349174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08894775184489,0,6.54610767856762,2.18414418917972,0,1.05343692942643,3.35722058469407,7.29610234432391,5.71061270647333,8.71493496794882,3.60480569636266,8.57814971850434,8.92899054772014,2.58291700831228,1.04695963349174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,"1","Enter","Enter",32,0,0,0,0.694850226472227,1.98403610558956,13.8884099569171,4.86085963543291,1.98403610558956,2.52973905515252,1.61598925888058,1.61598925888058,0,3.23197851776116,0,7.13380963336287,0,0,0,2.27059173107792,1.61598925888058,0.654602472197344,1.61598925888058,0,0.654602472197344,0,1.61598925888058,0,0,0,0,0,1.61598925888058,0,0,0,0,0,0,0,0.694850226472227,1.98403610558956,13.8884099569171,4.86085963543291,1.98403610558956,2.52973905515252,1.61598925888058,1.61598925888058,0,3.23197851776116,0,7.13380963336287,0,0,0,2.27059173107792,1.61598925888058,0.654602472197344,1.61598925888058,0,0.654602472197344,0,1.61598925888058,0,0,0,0,0,1.61598925888058,0,0,0,0
2005,"7","Enter Fleet",2,0,"1","Enter","Enter",60,0,0,0,0,0,0,0,5.205325133717,9.62208356129283,16.9957362918436,10.0983169087077,9.98866550782449,5.17739288212359,1.7112543889416,0,0,3.55455214905203,0,1.47509989819733,0,0,0,0,1.7112543889416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.205325133717,9.62208356129283,16.9957362918436,10.0983169087077,9.98866550782449,5.17739288212359,1.7112543889416,0,0,3.55455214905203,0,1.47509989819733,0,0,0,0,1.7112543889416,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",2,0,"1","Enter","Enter",30,0,0,0,2.89464418449982,7.76338953875044,0,0,0,6.47979343531161,8.9957356910919,6.07800946754822,0,3.16654278001643,9.38695669183522,8.13896169946403,0,0,0,0,0,0,3.33281170533234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89464418449982,7.76338953875044,0,0,0,6.47979343531161,8.9957356910919,6.07800946754822,0,3.16654278001643,9.38695669183522,8.13896169946403,0,0,0,0,0,0,3.33281170533234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",2,0,"1","Enter","Enter",57,0,0,0,2.13831408854712,7.48428193652386,5.32587892099329,6.49274120104998,4.91606481053098,1.91745764280183,0.971695310635687,2.84812284196224,6.37963445457954,3.4781846428067,2.57941822467456,6.99873865888758,0,1.70207999532476,0.964633748423324,0.985818435060413,1.86766145409741,0,0,0.877338229349801,0,0.877338229349801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13831408854712,7.48428193652386,5.32587892099329,6.49274120104998,4.91606481053098,1.91745764280183,0.971695310635687,2.84812284196224,6.37963445457954,3.4781846428067,2.57941822467456,6.99873865888758,0,1.70207999532476,0.964633748423324,0.985818435060413,1.86766145409741,0,0,0.877338229349801,0,0.877338229349801,0,0,0,0,0,0,0,0,0,0,0
2008,"7","Enter Fleet",2,0,"1","Enter","Enter",43,0.919833704279175,16.5569586840321,13.6921849409986,0,0,2.09590199830825,1.28522835665993,1.75980706816805,1.11499721040728,0.683924147074527,0.874816276823584,0.18474902664211,1.16997318391515,0.20303435698388,0.190364206825803,0.16375209219454,0.683924147074527,0,0,0,0.18474902664211,0,0,0,0,0,0.414755445704927,0,0,0,0,0,0,0,0,0.192067958078121,0.919833704279175,16.5569586840321,13.6921849409986,0,0,2.09590199830825,1.28522835665993,1.75980706816805,1.11499721040728,0.683924147074527,0.874816276823584,0.18474902664211,1.16997318391515,0.20303435698388,0.190364206825803,0.16375209219454,0.683924147074527,0,0,0,0.18474902664211,0,0,0,0,0,0.414755445704927,0,0,0,0,0,0,0,0,0.192067958078121
2009,"7","Enter Fleet",2,0,"1","Enter","Enter",20,0,0,5.94081187062427,0,0,0,6.12560290825895,0,0,2.9649062020492,9.43314249258911,5.23134627970543,5.23134627970543,0,5.23134627970543,5.23134627970543,5.23134627970543,5.23134627970543,0,0,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94081187062427,0,0,0,6.12560290825895,0,0,2.9649062020492,9.43314249258911,5.23134627970543,5.23134627970543,0,5.23134627970543,5.23134627970543,5.23134627970543,5.23134627970543,0,0,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,"1","Enter","Enter",51,0,0,4.08889455904948,19.0488737027196,0,0,0,5.07393088197499,2.57597861116812,4.71745035065629,2.05577219266959,1.70428386796168,2.07407695024249,1.28161037491472,1.18629620795684,0.640204273698652,0.640204273698652,0,0.611083068469038,0,0.640204273698652,0,0,0,0,0,0.800879367949664,0,0,0,0,0,0.903404500012018,0,0,1.80680900002404,0,0,4.08889455904948,19.0488737027196,0,0,0,5.07393088197499,2.57597861116812,4.71745035065629,2.05577219266959,1.70428386796168,2.07407695024249,1.28161037491472,1.18629620795684,0.640204273698652,0.640204273698652,0,0.611083068469038,0,0.640204273698652,0,0,0,0,0,0.800879367949664,0,0,0,0,0,0.903404500012018,0,0,1.80680900002404
2011,"7","Enter Fleet",2,0,"1","Enter","Enter",40,0,0,0.681720307246882,1.55223754937503,21.3877760750083,14.4040601864984,2.85390404732385,1.22689609620325,2.42001521467424,0,0.586469898231403,1.05289955809289,0.780345073088235,0.331455386826578,0.686230586172554,0,0.751278831122795,0,1.77387599672988,0.586469898231403,0.354775199345976,0,0,0,0,0.354775199345976,0,0,0,0,0,0,0,0,0,0,0,0,0.681720307246882,1.55223754937503,21.3877760750083,14.4040601864984,2.85390404732385,1.22689609620325,2.42001521467424,0,0.586469898231403,1.05289955809289,0.780345073088235,0.331455386826578,0.686230586172554,0,0.751278831122795,0,1.77387599672988,0.586469898231403,0.354775199345976,0,0,0,0,0.354775199345976,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",2,0,"1","Enter","Enter",46,0,0.559015259977687,3.35394919604779,0,1.45476840491307,18.791407109744,6.03204989187468,3.42850038224685,2.42972328744631,2.7982083038917,0.945485572138831,3.47244334750486,1.48817644761462,2.75179769911597,1.81978923511242,1.81978923511242,0.271487801556226,0.898505512089773,0.952034307782033,0.496042997669504,0,1.06872518420692,0,0.489494262026302,0,0.500408821431639,0,0.271487801556226,0,0,0,0,0,0,0,0,0,0.559015259977687,3.35394919604779,0,1.45476840491307,18.791407109744,6.03204989187468,3.42850038224685,2.42972328744631,2.7982083038917,0.945485572138831,3.47244334750486,1.48817644761462,2.75179769911597,1.81978923511242,1.81978923511242,0.271487801556226,0.898505512089773,0.952034307782033,0.496042997669504,0,1.06872518420692,0,0.489494262026302,0,0.500408821431639,0,0.271487801556226,0,0,0,0,0,0,0,0
2013,"7","Enter Fleet",2,0,"1","Enter","Enter",27,0,0.99423093991302,3.97701251442265,0,6.79542025383864,6.79542025383864,9.42966184432413,1.41288719268661,4.51415638590574,2.16881157362208,5.65137126120529,2.14830922162066,1.41288719268661,0,0,0,2.14830922162066,0.735422028934055,2.14830922162066,1.41288719268661,0.735422028934055,0.735422028934055,0,2.14830922162066,1.41288719268661,0,2.14830922162066,0,0,0,1.41288719268661,0,0,0,0,1.06381468003905,0,0.99423093991302,3.97701251442265,0,6.79542025383864,6.79542025383864,9.42966184432413,1.41288719268661,4.51415638590574,2.16881157362208,5.65137126120529,2.14830922162066,1.41288719268661,0,0,0,2.14830922162066,0.735422028934055,2.14830922162066,1.41288719268661,0.735422028934055,0.735422028934055,0,2.14830922162066,1.41288719268661,0,2.14830922162066,0,0,0,1.41288719268661,0,0,0,0,1.06381468003905
2014,"7","Enter Fleet",2,0,"1","Enter","Enter",70,0,0,5.76804009533506,2.66488637857125,1.25273503324583,0.659338226412404,0.730760293932033,0.740603754688803,1.43049252358225,1.77098727306726,6.30747693868153,4.29478766504754,3.20354182260738,3.25645992034719,5.36176671779406,2.21591821093419,1.76864307513621,1.71662575715694,2.78312728810269,2.79839713295911,0.267119183689505,1.53070698513464,0.433774292158039,1.67901006257815,0.145730971380274,1.46366943596753,2.8438919372506,1.40073423317976,0.11031838874594,0,0,0.0831756154794769,0,0,0,2.74718291982659,0,0,5.76804009533506,2.66488637857125,1.25273503324583,0.659338226412404,0.730760293932033,0.740603754688803,1.43049252358225,1.77098727306726,6.30747693868153,4.29478766504754,3.20354182260738,3.25645992034719,5.36176671779406,2.21591821093419,1.76864307513621,1.71662575715694,2.78312728810269,2.79839713295911,0.267119183689505,1.53070698513464,0.433774292158039,1.67901006257815,0.145730971380274,1.46366943596753,2.8438919372506,1.40073423317976,0.11031838874594,0,0,0.0831756154794769,0,0,0,2.74718291982659
2015,"7","Enter Fleet",2,0,"1","Enter","Enter",92,0,0.409971940027597,1.67716214589334,3.85139327486734,0,0,0.375892501597474,1.52880546011872,5.85902410564626,2.67856977487197,3.99238769065501,5.77859477880778,6.26802367039256,3.80092236740968,4.51885945009863,2.84966152079494,1.07350231054888,2.39871090819851,1.93275793411926,1.17814841225008,1.16421103321819,0.819017808358723,0.819017808358723,0.870877823361085,0.417889853032422,0.389598362705241,0.807488215737662,0,0,0,0,0,0,0.417889853032422,0,0,0,0.409971940027597,1.67716214589334,3.85139327486734,0,0,0.375892501597474,1.52880546011872,5.85902410564626,2.67856977487197,3.99238769065501,5.77859477880778,6.26802367039256,3.80092236740968,4.51885945009863,2.84966152079494,1.07350231054888,2.39871090819851,1.93275793411926,1.17814841225008,1.16421103321819,0.819017808358723,0.819017808358723,0.870877823361085,0.417889853032422,0.389598362705241,0.807488215737662,0,0,0,0,0,0,0.417889853032422,0,0
2016,"7","Enter Fleet",2,0,"1","Enter","Enter",87,0,0,3.00806301654936,3.24757971031694,3.72586139365957,2.15167412436352,3.94565574321785,5.50405722447074,6.37696382720299,6.44617995798369,3.07176005602174,1.29324771818214,3.41594166775466,5.60537903694824,2.08815512009464,2.79479662445254,1.41140374823448,0.827824132869651,0,0,0.827824132869651,1.11554880340562,0.157402901578183,0,0,0.608979304396678,0.827824132869651,0,0.153743289061913,0,0,0,0,0.156473162182158,0,0.2972990081461,0,0,3.00806301654936,3.24757971031694,3.72586139365957,2.15167412436352,3.94565574321785,5.50405722447074,6.37696382720299,6.44617995798369,3.07176005602174,1.29324771818214,3.41594166775466,5.60537903694824,2.08815512009464,2.79479662445254,1.41140374823448,0.827824132869651,0,0,0.827824132869651,1.11554880340562,0.157402901578183,0,0,0.608979304396678,0.827824132869651,0,0.153743289061913,0,0,0,0,0.156473162182158,0,0.2972990081461
2017,"7","Enter Fleet",2,0,"1","Enter","Enter",106,0,0,1.51266762289607,4.9172065719385,0.604583517512094,0.0525740825624449,0.648092149703978,1.20085729485056,1.58665963835704,9.7712529745721,0.659065307522901,0.891587504743541,0.295510334935982,1.90348038644808,0.0538182395939858,0.956520213819291,8.41762548421901,5.10280408111769,0.496354143738721,0.306237733341267,4.32674807672523,0.807645305022914,0.312993045223634,0.613040713333901,4.22121591251653,0.493924197536379,0.0265082247534964,0.130338505022754,0,0,0,4.19640957170247,0,0,0,4.22453980858598,0,0,1.51266762289607,4.9172065719385,0.604583517512094,0.0525740825624449,0.648092149703978,1.20085729485056,1.58665963835704,9.7712529745721,0.659065307522901,0.891587504743541,0.295510334935982,1.90348038644808,0.0538182395939858,0.956520213819291,8.41762548421901,5.10280408111769,0.496354143738721,0.306237733341267,4.32674807672523,0.807645305022914,0.312993045223634,0.613040713333901,4.22121591251653,0.493924197536379,0.0265082247534964,0.130338505022754,0,0,0,4.19640957170247,0,0,0,4.22453980858598
2018,"7","Enter Fleet",2,0,"1","Enter","Enter",62,0,0.122470827505146,1.35272943023862,0.510661020014386,0.898683124726085,0.713978647772775,0.32347982081978,3.74948990498992,3.80576844389668,0.326364756283671,3.66500348936546,0,7.33000354836771,0.0225134737806362,0,0.0268357314316497,7.36891072795326,0,3.68747922915073,7.36891072795326,0,0.0295148451026351,3.66500348936546,0,0,0,3.66500348936546,0,0.0279608905661993,0,0.0230417497157601,0,0,0,0,0.0366945953118186,0,0.122470827505146,1.35272943023862,0.510661020014386,0.898683124726085,0.713978647772775,0.32347982081978,3.74948990498992,3.80576844389668,0.326364756283671,3.66500348936546,0,7.33000354836771,0.0225134737806362,0,0.0268357314316497,7.36891072795326,0,3.68747922915073,7.36891072795326,0,0.0295148451026351,3.66500348936546,0,0,0,3.66500348936546,0,0.0279608905661993,0,0.0230417497157601,0,0,0,0,0.0366945953118186
2019,"7","Enter Fleet",2,0,"1","Enter","Enter",43,0,0,0.496368972145096,6.94506511198043,4.09195330048351,3.68612676284585,4.14491602081776,1.92981224138625,2.4564929790634,3.63151893251513,1.98372028612146,1.03228196890693,0.82260410599812,1.46117687731604,1.8584832184048,4.8874621993009,1.27850828300606,0.95815380354342,1.50957257586904,1.12904881213237,0.551406495385344,0.739710205280263,1.79838759577241,0,0,0.426169427668688,0,0.188303709894919,0,0.551406495385344,0.977575923054031,0,0,0.188303709894919,0,0.586899129712258,0,0,0.496368972145096,6.94506511198043,4.09195330048351,3.68612676284585,4.14491602081776,1.92981224138625,2.4564929790634,3.63151893251513,1.98372028612146,1.03228196890693,0.82260410599812,1.46117687731604,1.8584832184048,4.8874621993009,1.27850828300606,0.95815380354342,1.50957257586904,1.12904881213237,0.551406495385344,0.739710205280263,1.79838759577241,0,0,0.426169427668688,0,0.188303709894919,0,0.551406495385344,0.977575923054031,0,0,0.188303709894919,0,0.586899129712258
2021,"7","Enter Fleet",2,0,"1","Enter","Enter",73,0,0,5.99934238851033,0.527931749581337,1.00741201332143,1.84133812259965,0.75747293451212,0.46167752175451,1.31662436136556,8.32742720015031,0,1.31662436136556,2.82471902939243,0,0.222741886971273,0.381746843451874,5.26652339698116,1.31662436136556,1.31662436136556,0.197127737787929,1.31662436136556,0,1.46724697723195,2.78387133859751,1.31662436136556,0,0,0,1.31662436136556,1.31662436136556,1.31662436136556,0,0,0,0,0.190562003498784,0,0,5.99934238851033,0.527931749581337,1.00741201332143,1.84133812259965,0.75747293451212,0.46167752175451,1.31662436136556,8.32742720015031,0,1.31662436136556,2.82471902939243,0,0.222741886971273,0.381746843451874,5.26652339698116,1.31662436136556,1.31662436136556,0.197127737787929,1.31662436136556,0,1.46724697723195,2.78387133859751,1.31662436136556,0,0,0,1.31662436136556,1.31662436136556,1.31662436136556,0,0,0,0,0.190562003498784
