"year","month","fleet","sex","partition","InputN","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
2003,"7","Enter Fleet",2,0,49,1.07545008602096,0,0,0,0,3.23560710624905,2.15391052917563,1.07545008602096,2.15707140416603,0,0,0,0,3.24230515087157,3.17698040106988,8.92412846398032,16.1978286293994,14.6389904466316,5.47365711731211,0,0,0,0,0,0,0,0,0,1.07545008602096,0,0,0,0,3.23560710624905,2.15391052917563,1.07545008602096,2.15707140416603,0,0,0,0,3.24230515087157,3.17698040106988,8.92412846398032,16.1978286293994,14.6389904466316,5.47365711731211,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,32,0,0,0.694849134045773,0,0,0,6.01226087211715,4.50920875554978,0.751552261207515,4.50920875554978,3.75765649434226,0.751552261207515,3.62763758631243,0.751552261207515,0.976268535948315,1.24306670635536,2.13585272699069,5.56434809221752,10.6143851955577,3.72920011906609,0.621533353177681,1.2761347962251,0.654601443047421,0,0,0,0,0,0,0,0.694849134045773,0,0,0,6.01226087211715,4.50920875554978,0.751552261207515,4.50920875554978,3.75765649434226,0.751552261207515,3.62763758631243,0.751552261207515,0.976268535948315,1.24306670635536,2.13585272699069,5.56434809221752,10.6143851955577,3.72920011906609,0.621533353177681,1.2761347962251,0.654601443047421,0,0,0,0,0
2005,"7","Enter Fleet",2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3.49409494261152,0,0,12.2030157806772,18.4111748247874,10.2221206496948,7.9995290728275,8.076170161685,1.4667996343389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49409494261152,0,0,12.2030157806772,18.4111748247874,10.2221206496948,7.9995290728275,8.076170161685,1.4667996343389,0,0,0,0,0,0,0
2006,"7","Enter Fleet",2,0,30,0,0,0,0,0,5.48254965553126,2.58791679544308,2.58791679544308,0,0,0,0,0,0,3.16653039188454,6.35770761039235,9.2844204670378,9.38691996823298,11.3927021920027,5.99035252786461,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48254965553126,2.58791679544308,2.58791679544308,0,0,0,0,0,0,3.16653039188454,6.35770761039235,9.2844204670378,9.38691996823298,11.3927021920027,5.99035252786461,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",2,0,57,0,0,0,0,0,6.27713663535544,1.04620972640307,4.18739508993508,1.04620972640307,4.18471718254929,1.8707617551005,1.04620972640307,1.14663125337021,4.92941888192498,2.07866474668822,0.877136391909311,0.824552028697429,7.29608039564864,9.90131911283363,9.7573207293159,0.877136391909311,0,0.990095394364466,0,0,0,0,0,0,0,0,0,0,6.27713663535544,1.04620972640307,4.18739508993508,1.04620972640307,4.18471718254929,1.8707617551005,1.04620972640307,1.14663125337021,4.92941888192498,2.07866474668822,0.877136391909311,0.824552028697429,7.29608039564864,9.90131911283363,9.7573207293159,0.877136391909311,0,0.990095394364466,0,0,0,0,0
2008,"7","Enter Fleet",2,0,43,2.57978104381741,5.64710392045776,0.257969661124231,4.58677149815191,8.00603749200353,0.773937127564393,0,0.482335157358397,0.50558225970278,2.21925394813757,1.29173396646507,0.50558225970278,1.02503960591377,0.987467109993974,0.620129119922682,1.83668995035646,4.44948413103823,3.77804814964604,1.51792883515975,0,0.592604100439866,0.454810137875581,0,0.248316203371055,0,0,0,0,2.32181138269318,5.64710392045776,0.257969661124231,4.58677149815191,8.00603749200353,0.773937127564393,0,0.482335157358397,0.50558225970278,2.21925394813757,1.29173396646507,0.50558225970278,1.02503960591377,0.987467109993974,0.620129119922682,1.83668995035646,4.44948413103823,3.77804814964604,1.51792883515975,0,0.592604100439866,0.454810137875581,0,0.248316203371055,0,0,0,0
2009,"7","Enter Fleet",2,0,20,0,0,0,5.94081187062427,0,0,0,0,0,0,0,0,0,2.9649062020492,6.12560290825895,9.43314249258911,5.23134627970543,5.23134627970543,10.4626925594109,10.4621425860846,5.23134627970543,0,0,0,0,0,0,0,0,0,0,5.94081187062427,0,0,0,0,0,0,0,0,0,2.9649062020492,6.12560290825895,9.43314249258911,5.23134627970543,5.23134627970543,10.4626925594109,10.4621425860846,5.23134627970543,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,51,0,0.821403643389711,2.44599860402982,1.73950826719424,6.4262701248515,9.06539334464285,2.63921566814738,0,0,0,0,2.05577409319719,3.01816147954349,4.03352177389906,2.05577409319719,1.56986553386614,4.02723528568853,1.44108497390645,4.22877270184943,1.8348225222685,0.903405335194627,1.54361020075161,0,0,0,0,0,0,0,0.821403643389711,2.44599860402982,1.73950826719424,6.4262701248515,9.06539334464285,2.63921566814738,0,0,0,0,2.05577409319719,3.01816147954349,4.03352177389906,2.05577409319719,1.56986553386614,4.02723528568853,1.44108497390645,4.22877270184943,1.8348225222685,0.903405335194627,1.54361020075161,0,0,0,0,0,0
2011,"7","Enter Fleet",2,0,40,0,0,0.340876402820157,0.340876402820157,1.19401957859351,0.597026494011193,12.1180341758412,9.98614510984519,8.7920921218228,7.5980725432293,2.06182949364335,1.03091474682168,1.03091474682168,1.22689445660733,0,0.709549450465009,1.25589384087156,2.89101810891273,1.46082727759594,0.941243839718933,0,0,0,0,0,0,0,0,0,0,0.340876402820157,0.340876402820157,1.19401957859351,0.597026494011193,12.1180341758412,9.98614510984519,8.7920921218228,7.5980725432293,2.06182949364335,1.03091474682168,1.03091474682168,1.22689445660733,0,0.709549450465009,1.25589384087156,2.89101810891273,1.46082727759594,0.941243839718933,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",2,0,46,0.55901366831128,0.55901366831128,2.79497343261441,0,0,0,0.484937239089387,0.969874478178773,1.45476426279717,8.44746529061355,7.62275403920593,5.8390828379482,2.90805743699351,2.44490180009045,2.91655178730147,1.97310944946645,3.41558300427612,7.73683458747591,2.81191467875933,1.71301149394742,0.767528613859648,0.673900942588157,0,0,0,0,0,0,0.55901366831128,0.55901366831128,2.79497343261441,0,0,0,0.484937239089387,0.969874478178773,1.45476426279717,8.44746529061355,7.62275403920593,5.8390828379482,2.90805743699351,2.44490180009045,2.91655178730147,1.97310944946645,3.41558300427612,7.73683458747591,2.81191467875933,1.71301149394742,0.767528613859648,0.673900942588157,0,0,0,0,0,0
2013,"7","Enter Fleet",2,0,27,0.994231822341193,2.98278422187292,0.994231822341193,0,0,0,2.71811726113186,0,5.43632327711305,5.43632327711305,2.7182060159812,6.7114641976251,4.10082905904771,0,0.550990104721847,8.33940564427589,6.46534700039673,2.88373381000604,4.62492644441861,5.03195618350598,1.41288844669251,0,0,0,0,0,0,0,0.994231822341193,2.98278422187292,0.994231822341193,0,0,0,2.71811726113186,0,5.43632327711305,5.43632327711305,2.7182060159812,6.7114641976251,4.10082905904771,0,0.550990104721847,8.33940564427589,6.46534700039673,2.88373381000604,4.62492644441861,5.03195618350598,1.41288844669251,0,0,0,0,0,0,0
2014,"7","Enter Fleet",2,0,73,0,0.488603999896187,2.79040175204631,1.69047536570372,1.06009530574209,1.40692324557284,0.737276776818572,0.205041020692073,0.756909981214889,0.410082041384145,0.429715245780463,0.67090612124872,0.300166502169806,1.64550794346636,3.43758079829174,5.53029795450895,7.56074918483652,9.67173130222332,11.066742144465,6.65988046983735,2.61346401286844,0.314239861073361,0,0,0,0,0,0,0,0.488603999896187,2.79040175204631,1.69047536570372,1.06009530574209,1.40692324557284,0.737276776818572,0.205041020692073,0.756909981214889,0.410082041384145,0.429715245780463,0.67090612124872,0.300166502169806,1.64550794346636,3.43758079829174,5.53029795450895,7.56074918483652,9.67173130222332,11.066742144465,6.65988046983735,2.61346401286844,0.314239861073361,0,0,0,0,0,0
