"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
2003,"7","Enter Fleet",3,0,43,0,0,0,0,0,2.15398578810397,1.07545008602096,1.07545008602096,3.23244623125865,1.07545008602096,0,0,0,1.07070877353535,1.07070877353535,1.07070877353535,2.11108819894848,6.77383036336516,5.1812761806997,5.83384634836154,4.81897969965667,0,1.07070877353535,1.03398241650398,0,0,0,0,1.07545008602096,0,0,0,0,3.23560710624905,2.15391052917563,1.07545008602096,2.15707140416603,0,0,0,0,3.24230515087157,3.17698040106988,8.92412846398032,16.1978286293994,14.6389904466316,5.47365711731211,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,29,0,0,0,2.25460437777489,0,0.751552261207515,2.25460437777489,0.751552261207515,2.25460437777489,5.26076101675729,2.25460437777489,2.25460437777489,3.0061566389824,4.50920875554978,1.09260951774043,1.0016329662129,0.976268535948315,4.35073347224377,3.8225873395857,4.15311102074014,6.24840162164655,0,0.621533353177681,0,0,0,0,0,0,0,0.694849134045773,0,0,0,6.01226087211715,4.50920875554978,0.751552261207515,4.50920875554978,3.75765649434226,0.751552261207515,3.62763758631243,0.751552261207515,0.976268535948315,1.24306670635536,2.13585272699069,5.56434809221752,10.6143851955577,3.72920011906609,0.621533353177681,1.2761347962251,0.654601443047421,0,0,0,0,0
2005,"7","Enter Fleet",3,0,53,0,1.35327360628699,1.75936912267488,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32435007702203,2.80478149111921,10.5555341290386,5.46686237899375,6.01520476061917,5.1907628016507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43388923801508,0,0,11.9927492666459,18.0939373796176,11.7690564291273,7.86169158066441,7.9370120898492,1.4415256486752,0,0,0,0,0,0,0
2006,"7","Enter Fleet",3,0,26,0,0,0,0,0,2.58791679544308,0,0,0,0,0,0,0,0,2.81834506339711,3.31323769321352,3.31323769321352,0,0,16.6057016325588,5.47824624135894,3.16653039188454,3.16653039188454,0,0,3.31323769321352,0,0,0,0,0,0,0,5.48254965553126,2.58791679544308,2.58791679544308,0,0,0,0,0,0,3.16653039188454,6.35770761039235,9.2844204670378,9.38691996823298,11.3927021920027,5.99035252786461,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",3,0,51,0,0,0,3.10613251868378,3.10613251868378,6.21214457459778,3.10613251868378,3.106012055914,2.07075501245585,2.07075501245585,0,0,3.106012055914,1.85139230869308,0,0.81601480246515,2.83894609531978,2.67355071241682,1.77863279574815,0,1.68467183532258,1.88981993225174,1.81453070114151,0,0,0,0,0,0,0,0,1.03537750622793,0,6.21214457459778,1.03537750622793,4.144039743077,1.03537750622793,4.14138956214192,1.85139230869308,1.03537750622793,1.13475929129343,4.87838078763377,2.05714271947112,0.868054719008543,0.81601480246515,7.22053842039579,9.7988030819195,9.65629562527405,0.868054719008543,0,0.979844169361017,0,0,0,0,0
2008,"7","Enter Fleet",3,0,38,0.417256431423076,1.66900296583677,0.417256431423076,7.51047920648219,6.88460593927534,0,0.208616835783773,0,0.204429022366338,0.408858044732675,0.408858044732675,2.15936405322074,1.33042735497932,1.50444921035819,0.488176141253126,2.28386046296733,5.73225169395915,2.37649307497256,4.64849565320899,1.38081767512173,3.68718763520777,2.16751208150031,0.29706163437157,0,0,0.421944961662161,0,0,12.3116707304389,8.73923828681105,3.21665038199004,5.43455278363275,6.47438230321089,0.625873267206849,0,0.390058404065274,0.408858044732675,1.7946828880709,1.04460908923935,0.408858044732675,0.828936698241414,0.798552291109477,0.501490656737907,1.48530817185785,3.59824211979832,3.05526024643006,1.22753004813027,0,0.479231518030016,0.367799265357383,0,0.200810205337141,0,0,0,0
2009,"7","Enter Fleet",3,0,19,0,0,5.58057934190192,5.94081187062427,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16780236158546,4.53343012863876,0,5.23134627970543,10.4626925594109,0,0,0,0,0,0,0,0,0,5.94081187062427,0,0,0,0,0,0,0,0,0,2.9649062020492,6.12560290825895,9.43314249258911,5.23134627970543,5.23134627970543,10.4626925594109,10.4621425860846,5.23134627970543,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,46,0,0,0,0.50998620138629,2.77854946952251,3.98988866975394,1.70996048683162,0,0,0.624611124759213,0.624611124759213,1.87389077283716,4.45378382784106,4.45372642928153,0.56089872368563,1.18550984844484,1.35098989555758,0.56089872368563,0.794912650872114,1.99207440690068,0,2.08264933383232,0.39748502471582,1.19239767558793,0,0,0,0,35.505658349998,2.9171669907772,1.5186510879323,1.08001129603651,3.98988866975394,5.62844534853553,1.63861407734112,0,0,0,0,1.27637176817411,1.87389077283716,2.50429915210848,1.27637176817411,0.974684939306763,2.50039605006073,0.894728745887393,2.62552490982686,1.13918921090756,0.56089872368563,0.95838374840145,0,0,0,0,0,0
2011,"7","Enter Fleet",3,0,36,0,0,0,0.93790289683135,2.82196081942638,2.98509906062709,9.98614510984519,9.06284213343258,3.58209214520941,5.80702647062459,2.65882257822567,2.3880725666159,1.86130610153059,0.788662978042989,1.15870581227175,0,0.354774725232505,0.276329386232041,0.39413103244824,0.354774725232505,0.354774725232505,0,0.318892998619856,0,0.331454943877171,0,0,0,0,0,0.340876402820157,0.340876402820157,1.19401957859351,0.597026494011193,12.1180341758412,9.98614510984519,8.7920921218228,7.5980725432293,2.06182949364335,1.03091474682168,1.03091474682168,1.22689445660733,0,0.709549450465009,1.25589384087156,2.89101810891273,1.46082727759594,0.941243839718933,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",3,0,41,0,1.06447434350262,1.06447434350262,0,0,0,0.789590561419853,0,2.308454483556,5.86816331638879,5.07857275496894,1.7129633185575,1.85551071048241,0.466046385960505,2.79817593556045,0.93209277192101,1.81932039006027,2.36149747503613,4.72150396308858,2.14914478342059,4.46460238765752,1.41065441225971,0.938372989821981,0,0,0,0,0,5.3221909918181,0.532237171751309,2.66109549590905,0,0,0,0.461708969280698,0.923417938561396,1.38508172641835,8.04283560422699,7.25762764091069,5.55939346649504,2.76876282870051,2.32779213292013,2.7768503035514,1.87859841801763,3.25197815568525,7.36624378360086,2.67722526418708,1.6309590344549,0.730764347699972,0.64162139864519,0,0,0,0,0,0
