"SURVEY","CRUISE","HAUL_NO","YEAR","MONTH","JDAY","HAUL_DATE","STATION","NET_IN_LATDD","NET_IN_LONDD","LATDD","LONDD","BOTTOM_DEPTH","STATION_BOTTOM_DEPTH","STRATA","AREA","ACTIVE","NAME","TOTAL_NO","NMEAS","NMEAS_SIZE","NSIZE","N100"
"RREAS","0103",1,2001,5,131,2001-05-11 21:04:00,119,36.8399983723958,-121.99833984375,36.8466674804688,-121.983333333333,89,91,"C","Monterey Bay Inside","Y","Canary",0,0,0,0,0
"RREAS","0103",2,2001,5,131,2001-05-11 21:58:00,119,36.8583333333333,-121.965006510417,36.8466674804688,-121.983333333333,87,91,"C","Monterey Bay Inside","Y","Canary",0,0,0,0,0
"RREAS","0103",3,2001,5,131,2001-05-11 23:38:00,114,36.7699991861979,-121.846663411458,36.7666666666667,-121.866666666667,50,73,"C","Monterey Bay Inside","Y","Canary",0,0,0,0,0
"RREAS","0103",4,2001,5,132,2001-05-12 01:36:00,116,36.7416666666667,-121.978336588542,36.7399983723958,-121.97666015625,323,287,"C","Monterey Bay Inside","Y","Canary",0,0,0,0,0
"RREAS","0103",5,2001,5,132,2001-05-12 02:52:00,115,36.7116658528646,-121.903336588542,36.7083333333333,-121.908333333333,93,91,"C","Monterey Bay Inside","Y","Canary",0,0,0,0,0
"RREAS","0103",6,2001,5,132,2001-05-12 04:26:00,111,36.6433349609375,-121.84833984375,36.6449991861979,-121.863330078125,31,46,"C","Monterey Bay Inside","N","Canary",2,2,2,2,1.39340720244527
"RREAS","0103",9,2001,5,132,2001-05-12 21:54:00,110,36.5699991861979,-122.156673177083,36.5833333333333,-122.175,2333,2304,"C","Monterey Bay Outside","Y","Canary",0,0,0,0,0
"RREAS","0103",11,2001,5,133,2001-05-13 00:42:00,109,36.5850016276042,-122.018326822917,36.5833333333333,-122.033333333333,548,608,"C","Monterey Bay Outside","Y","Canary",0,0,0,0,0
"RREAS","0103",12,2001,5,133,2001-05-13 02:38:00,113,36.6449991861979,-122.043326822917,36.6466674804688,-122.05,708,900,"C","Monterey Bay Outside","Y","Canary",0,0,0,0,0
"RREAS","0103",13,2001,5,133,2001-05-13 03:44:00,117,36.6983317057292,-122.108333333333,36.7,-122.108333333333,1890,1920,"C","Monterey Bay Outside","Y","Canary",0,0,0,0,0
