"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
2003,"7","Enter Fleet",3,0,121,0,0.943122272549719,1.25749636339963,1.58753099108379,0,0.954688697611589,0.559394375719546,0.319698673373553,1.21378109343658,0.319698673373553,0.414802876348428,0.416324185640899,1.98457034422307,2.04723486375557,4.9069607506677,3.93629830548517,2.87567726228759,3.87343243619338,3.47910011870687,3.58190035692601,2.57474886091967,0.699242969649432,7.92215102395302,0.307371593665447,0,0,0,0,0.554808075646657,3.77244434580792,4.80588317150033,0.71908710703798,0,1.20890395482248,0.879987936912199,0.319698673373553,0.880927569122254,0,0,0.635415095952109,2.2684958770281,2.31992955443088,5.04656325044733,6.95981103548812,8.9210024354372,7.07719794515859,4.44750297214617,2.82462391220793,0.182489998510012,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,89,0,0.122270816319549,0.122270816319549,0.723930592786702,0.489094408157657,0.635378129714483,0.479388960147603,0.159800034342354,0.720821729417235,1.94253817634075,1.042238087454,1.49249956069198,1.77782413215633,2.42046741927903,2.81872507407508,5.08459618371979,4.5840134668384,2.08875504062081,2.9816339717869,2.28383343133496,5.53601651642165,4.85325886324132,4.06494471293213,3.45380234604413,1.86594202292959,0.466485505732399,0.466485505732399,0,0,0.244541632639099,0.147743438766145,0,0.813396771974678,0.0945473322219425,1.40063766242,0.958777920295206,0.526612483301002,1.07796215900421,1.38747792177721,1.89544836774087,3.21772930179497,0.697365968152982,1.87124603355277,2.88437891985606,3.34712041808975,5.07833388546301,5.29683460880303,9.4874041447723,3.21950101962919,1.67079677493868,1.53864222453771,0,0.466485505732399,0,0,0
2005,"7","Enter Fleet",3,0,128,0,0.104735483644409,0.136164907906519,0.125647463698137,0.251277369058698,1.07163801731252,0.125647463698137,0.125647463698137,0.125647463698137,0.251294927396274,0.446438291222587,0.979878145137218,2.5580742015346,3.84169402840939,3.91658033817358,3.83331870138535,3.08148824469299,6.11721946166137,6.48197636647762,4.76359454286868,3.45816726072375,2.74837146418977,0,0,0.163257422787211,0,0,0,0,0,0.251277369058698,0.125647463698137,0.569083279195126,0.502572296454972,0.291275262058188,0.251294927396274,0.125647463698137,0.328516496058153,0.957614173090092,1.45307534282654,3.45967727775534,3.42935402876056,3.74607132196724,4.79370709181255,6.97708636946254,9.99415307358699,11.9039734517936,4.09794040700227,1.04935648692782,0.656611592014468,0.328305796007234,0,0,0,0,0
2006,"7","Enter Fleet",3,0,77,0,0.0252153295096941,0.0252153295096941,0.0252153295096941,0.0234849348692153,0.015390167549693,0,0,0.0233133060529722,0.107801705238088,0.107801705238088,0.153337416375035,0.151745735435355,0.294249376670001,0.678963597057859,2.88090253246547,2.99363210070144,4.17348616918604,8.16957632368725,7.94894630486685,6.07066640177836,3.40789704151889,4.94150866431637,2.81385679338594,2.13734302134898,0.0197067498321917,0,0,0,0,0,0,0.0224034382189161,0.0559180789798195,0.015390167549693,0.015390167549693,0,0,0.183400672173679,0.116524210830719,0.101566641941145,1.97853934473058,1.6867374420018,4.10104705333307,5.41669478166111,8.63869665547161,13.2237017044152,10.5759769029933,4.30919754124088,1.69304538876866,0,0.676513772036964,0,0,0,0
2007,"7","Enter Fleet",3,0,116,0,0,0,0.395088552085113,0.395088552085113,1.01059008930671,0.91162259045398,3.3226050868896,1.82722900962784,1.64553577516497,0.94128679199894,1.36542664890288,1.50771062387524,0.776294993323256,0.230617715626645,1.94366406517544,1.15789981743339,5.6421433917858,3.20207894569505,5.81904070936667,5.46431140669758,3.56279931386212,1.4270227698795,0.739858282954499,0.667061474307752,0,0,0,0,0,0,0,0,1.01059008930671,1.27194457574906,3.72684112261229,1.1712762884813,1.53953528637983,1.60744424363564,0.959734983455619,0.999343434382127,1.49565188078852,0.836542741502378,4.27572078570296,7.82518959577163,13.798833504306,7.06265413395011,6.71639812851985,0.867999665971284,0.323563504145097,0.262304476367851,0.174675566948625,0,0.118779385525065,0,0
2008,"7","Enter Fleet",3,0,85,0.258076195613676,1.03229070531536,0.258076195613676,4.6452870582101,4.25817980335926,0,0.238677897596131,0,1.39415764932044,1.31331263806154,1.98345485658492,2.64612211411605,2.41520072029907,3.56537339049027,2.60819830072036,2.59861176882634,4.26901920065498,2.56578387987358,3.26992238991536,2.08526072832867,3.96268657136631,3.30215903901564,0.745159294093401,0.57643070190306,0.297787805706197,0.260976086318766,0,0,1.29035282378969,2.82456393245451,0.129031059237165,2.29420770762795,4.00445344380322,0.387107254850841,0.328940515076898,0.460547690814216,0.789108123128796,2.45280075948982,1.75216745714496,2.72171635239922,5.28786623789577,4.37559722263672,4.598902884068,3.60363505523025,3.96279918848107,3.69326420144049,1.33694815502196,0.999603587756042,1.34823802077673,0.68374073513074,0,0.124202600441797,0,0,0,0
2009,"7","Enter Fleet",3,0,77,0.341084668310889,0,0.386918516417059,1.00159541447984,0.881214833389005,0,0,1.23385329202949,0.612655938038128,2.19586839508319,1.62424175867754,8.56143489687003,5.0103412143148,4.13076602773825,3.62014950528424,1.35606417653887,1.07404492479741,1.63038090139393,1.08941184724898,1.46279374463302,3.35925500549854,2.23701209067933,0.740167076197057,0.367395279952534,0,0,0,0,0,0,0.294831375671302,2.77065993115009,2.05398174882441,0.586383457717703,0.303410922945751,0.90416988876331,1.17936363400643,2.50511341017557,6.60617513868362,7.36727631023033,4.89434573516425,5.65460801764412,4.38822870861417,3.51395377568716,4.44447240741334,3.71864270799492,2.54823993447514,2.98678825982377,0.362705127442502,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,123,0,0.0977101204669628,1.36787645077805,0.11592394449846,0.631586528450358,0.906933621831956,0.388687701806822,0,0,0.246147567462908,0.141979106812857,0.63478308066219,1.51923645979625,2.04104425228599,1.46419052599332,0.726739407147856,1.41720773205534,1.25392262621423,3.23607203489122,7.94960354924282,10.293393913869,11.9842004209533,4.9878348355824,1.6400400390997,1.04221953972779,0,0,0,0.0977101204669628,0.311344185432385,2.20160250338313,0.34320533033562,0.906933621831956,1.2793906666938,0.372470092013734,0,0,0.208832713071733,0.208336921300102,0.580624353187445,1.73653677444136,1.89545108440098,1.66704764350171,2.59847076942186,3.66062635722997,4.63592705493947,10.0146154195416,8.47546900596881,3.45800408845551,1.26006783475208,0,0,0,0,0,0
2011,"7","Enter Fleet",3,0,109,0,0,0,0.621665296354262,1.53117393582415,1.2628782157642,4.31766428095206,4.01996938811134,1.60836089859137,2.45672491236432,1.12484344587139,1.01029974576783,0.787445535558935,0.8420601526863,0.897226004303304,0.631276564378747,1.23209388965049,0.928335417423731,1.16781146762791,3.11629818054456,4.63551456820884,4.66015050963042,3.08178242096251,1.61781669022134,0.581566520787406,0,0,0,0,0,0.2566491246891,0.251122645575022,0.935374257829897,0.252578469996377,5.87002540908313,5.24687601987215,4.09127651632241,3.30798644076229,0.872279110092694,0.545255715559611,0.721848631291829,1.16911181565475,1.32584615554226,1.79353328445721,3.45925083840646,6.2048226233419,8.89650063625181,6.18825732021734,4.4924056141678,1.32402284146114,0.662018487839414,0,0,0,0,0
2012,"7","Enter Fleet",3,0,136,0,0.210372958395622,0.77547794218101,1.30505346919831,0.22212384181025,0.390270411400571,0.473830264739546,0.14854688182808,0.530495239017076,1.23400348490485,1.7526406895947,2.08771052252321,1.45358249254096,1.82140478775279,4.454593818571,3.74369215971415,3.44321421306852,1.53295453104599,3.25426250794926,2.53395835651216,2.96545508153381,4.38294557501555,2.23205173103192,0.764048511504168,0.382019791130726,0,0,0,0.200157904728195,0.276672585564022,1.27306892178858,1.86696178409127,0.998494708262889,0.374965689384863,0.409030750347481,0.256769303549428,0.577070169025207,1.8116451254639,2.68036222008833,2.66826309620777,2.33544343244376,2.38283985278179,3.95469016509991,4.14162386136529,4.16885805164995,8.49669234062061,7.21964990582328,6.81672675749373,3.88792621731027,1.10737789394524,0,0,0,0,0,0
