"state","fishyr","month","fleet","sex","part","Ntows","Nsamps","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
"C","1979","7","NTWL","0","0","12","39","17","0","0","0","0","0","0","0","0","0","0","0.0491","0.0507","0.0263","0.1012","0.1673","0.054","0.241","0.0472","0.1184","0.0617","0.0347","0","0.0484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0491","0.0507","0.0263","0.1012","0.1673","0.054","0.241","0.0472","0.1184","0.0617","0.0347","0","0.0484","0","0","0","0","0"
"C","1980","7","NTWL","0","0","8","15","10","0","0","0","0","0","0","0","0","0.0158","0.0317","0.0317","0.0317","0","0","0.2223","0.2223","0.1112","0.1112","0.1112","0.1112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0158","0.0317","0.0317","0.0317","0","0","0.2223","0.2223","0.1112","0.1112","0.1112","0.1112","0","0","0","0","0","0","0","0"
"C","1981","7","NTWL","0","0","15","74","25","0","0","0","0","0","0","0","0","0","0","0","0.0207","0.0744","0.0443","0.2168","0.222","0.2343","0.098","0.069","0.0207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0207","0.0744","0.0443","0.2168","0.222","0.2343","0.098","0.069","0.0207","0","0","0","0","0","0","0","0"
"C","1982","7","NTWL","0","0","6","29","10","0","0","0","0","0","0","0","0","0","0","0","0","0.0176","0.0484","0.2921","0.4435","0.1335","0","0.0649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0176","0.0484","0.2921","0.4435","0.1335","0","0.0649","0","0","0","0","0","0","0","0","0"
"C","1983","7","NTWL","0","0","4","30","8","0","0","0","0","0","0","0","0","0","0","0","0.0629","0.0629","0.2624","0.1888","0.1259","0.0843","0.0736","0.0321","0.0321","0.0321","0.0214","0.0214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0629","0.0629","0.2624","0.1888","0.1259","0.0843","0.0736","0.0321","0.0321","0.0321","0.0214","0.0214","0","0","0","0","0"
"C","1984","7","NTWL","0","0","9","32","13","0","0","0","0","0","0","0","0","0","0","0.0314","0.0314","0.0627","0.0935","0.0621","0.1569","0.2176","0.1562","0.0627","0.0314","0","0.0627","0","0","0.0314","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0314","0.0314","0.0627","0.0935","0.0621","0.1569","0.2176","0.1562","0.0627","0.0314","0","0.0627","0","0","0.0314","0","0","0"
"C","1985","7","NTWL","0","0","16","51","23","0","0","0","0","0","0","0","0","0","0","0.0427","0.0502","0.0716","0.064","0.1281","0.1977","0.2693","0.0854","0.064","0.0056","0","0.0213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0427","0.0502","0.0716","0.064","0.1281","0.1977","0.2693","0.0854","0.064","0.0056","0","0.0213","0","0","0","0","0","0"
"C","1986","7","NTWL","0","0","19","83","30","0","0","0","0","0","0","0","0","0","0","0.0585","0.1655","0.092","0.1996","0.1598","0.1777","0.0889","0.0104","0.0248","0","0.0228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0585","0.1655","0.092","0.1996","0.1598","0.1777","0.0889","0.0104","0.0248","0","0.0228","0","0","0","0","0","0","0"
"C","1987","7","NTWL","0","0","3","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3563","0","0.1594","0.2875","0.1969","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3563","0","0.1594","0.2875","0.1969","0","0","0","0","0","0","0","0","0","0"
"C","1988","7","NTWL","0","0","8","33","13","0","0","0","0","0","0","0","0.0464","0","0.0886","0.0656","0","0.0848","0.098","0.1971","0.1504","0.1364","0.1327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0464","0","0.0886","0.0656","0","0.0848","0.098","0.1971","0.1504","0.1364","0.1327","0","0","0","0","0","0","0","0","0","0"
