"fishyr","month","fleet","sex","part","Ntows","Nsamps","InputN","U12","U14","U16","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U.12","U.14","U.16","U.18","U.20","U.22","U.24","U.26","U.28","U.30","U.32","U.34","U.36","U.38","U.40","U.42","U.44","U.46","U.48","U.50","U.52","U.54","U.56","U.58","U.60","U.62","U.64","U.66"
"1979","7","NTWL","0","2","12","39","17","0","0","0","0","0","0","0","0","0","0","0.0491","0.0507","0.0263","0.1012","0.1673","0.054","0.241","0.0472","0.1184","0.0617","0.0347","0","0.0484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0491","0.0507","0.0263","0.1012","0.1673","0.054","0.241","0.0472","0.1184","0.0617","0.0347","0","0.0484","0","0","0","0","0"
"1980","7","NTWL","0","2","8","15","10","0","0","0","0","0","0","0","0","0.0158","0.0317","0.0317","0.0317","0","0","0.2223","0.2223","0.1112","0.1112","0.1112","0.1112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0158","0.0317","0.0317","0.0317","0","0","0.2223","0.2223","0.1112","0.1112","0.1112","0.1112","0","0","0","0","0","0","0","0"
"1981","7","NTWL","0","2","15","74","25","0","0","0","0","0","0","0","0","0","0","0","0.0207","0.0744","0.0443","0.2168","0.222","0.2343","0.098","0.069","0.0207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0207","0.0744","0.0443","0.2168","0.222","0.2343","0.098","0.069","0.0207","0","0","0","0","0","0","0","0"
"1982","7","NTWL","0","2","6","29","10","0","0","0","0","0","0","0","0","0","0","0","0","0.0176","0.0484","0.2921","0.4435","0.1335","0","0.0649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0176","0.0484","0.2921","0.4435","0.1335","0","0.0649","0","0","0","0","0","0","0","0","0"
"1983","7","NTWL","0","2","4","30","8","0","0","0","0","0","0","0","0","0","0","0","0.0629","0.0629","0.2624","0.1888","0.1259","0.0843","0.0736","0.0321","0.0321","0.0321","0.0214","0.0214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0629","0.0629","0.2624","0.1888","0.1259","0.0843","0.0736","0.0321","0.0321","0.0321","0.0214","0.0214","0","0","0","0","0"
"1984","7","NTWL","0","2","9","32","13","0","0","0","0","0","0","0","0","0","0","0.0314","0.0314","0.0627","0.0935","0.0621","0.1569","0.2176","0.1562","0.0627","0.0314","0","0.0627","0","0","0.0314","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0314","0.0314","0.0627","0.0935","0.0621","0.1569","0.2176","0.1562","0.0627","0.0314","0","0.0627","0","0","0.0314","0","0","0"
"1985","7","NTWL","0","2","16","51","23","0","0","0","0","0","0","0","0","0","0","0.0427","0.0502","0.0716","0.064","0.1281","0.1977","0.2693","0.0854","0.064","0.0056","0","0.0213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0427","0.0502","0.0716","0.064","0.1281","0.1977","0.2693","0.0854","0.064","0.0056","0","0.0213","0","0","0","0","0","0"
"1986","7","NTWL","0","2","19","83","30","0","0","0","0","0","0","0","0","0","0","0.0585","0.1655","0.092","0.1996","0.1598","0.1777","0.0889","0.0104","0.0248","0","0.0228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0585","0.1655","0.092","0.1996","0.1598","0.1777","0.0889","0.0104","0.0248","0","0.0228","0","0","0","0","0","0","0"
"1987","7","NTWL","0","2","3","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3563","0","0.1594","0.2875","0.1969","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3563","0","0.1594","0.2875","0.1969","0","0","0","0","0","0","0","0","0","0"
"1988","7","NTWL","0","2","8","33","13","0","0","0","0","0","0","0","0.0464","0","0.0886","0.0656","0","0.0848","0.098","0.1971","0.1504","0.1364","0.1327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0464","0","0.0886","0.0656","0","0.0848","0.098","0.1971","0.1504","0.1364","0.1327","0","0","0","0","0","0","0","0","0","0"
