"year","N_WA_U","N_CA_U","N_OR_U","N_WA_M","N_OR_F","N_OR_M","N_WA_F","ntrip_WA_U","ntrip_CA_U","ntrip_OR_U","ntrip_WA_M","ntrip_OR_F","ntrip_OR_M","ntrip_WA_F"
1979,40,0,0,0,0,0,0,4,0,0,0,0,0,0
1980,15,873,112,0,0,0,0,5,207,32,0,0,0,0
1981,43,429,77,2,0,0,0,4,118,22,1,0,0,0
1982,6,616,193,0,0,0,0,1,153,55,0,0,0,0
1983,3,425,32,0,0,0,0,1,140,15,0,0,0,0
1984,0,534,281,0,0,0,0,0,180,73,0,0,0,0
1985,0,1108,306,0,0,0,0,0,314,81,0,0,0,0
1986,0,1384,135,0,0,0,0,0,293,36,0,0,0,0
1987,1,618,203,0,0,0,0,1,107,53,0,0,0,0
1988,0,1283,348,0,0,0,0,0,203,85,0,0,0,0
1989,0,1775,150,0,0,0,0,0,231,35,0,0,0,0
1990,0,571,0,0,0,0,0,0,60,0,0,0,0,0
1991,0,545,0,0,0,0,0,0,65,0,0,0,0,0
1992,0,1109,0,0,0,0,0,0,164,0,0,0,0,0
1993,0,1926,525,0,0,0,0,0,357,123,0,0,0,0
1994,0,1828,642,0,0,0,0,0,280,129,0,0,0,0
1995,38,2015,599,0,0,0,0,15,273,106,0,0,0,0
1996,15,1925,329,0,0,0,0,7,237,77,0,0,0,0
1997,14,2164,443,0,0,0,0,6,227,110,0,0,0,0
1998,0,715,705,0,0,0,0,0,121,169,0,0,0,0
1999,0,981,765,0,237,156,0,0,205,165,0,37,37,0
2000,0,386,365,0,251,116,0,0,92,94,0,27,28,0
2001,0,175,1183,0,17,1,0,0,65,500,0,3,1,0
2002,56,110,1693,45,0,0,97,10,48,660,5,0,0,6
2003,32,83,1919,74,0,0,123,12,45,824,5,0,0,6
2004,4,243,139,12,0,0,28,1,116,52,4,0,0,6
2005,10,406,207,7,0,0,34,4,172,67,3,0,0,5
2006,11,606,217,0,0,0,4,4,184,63,0,0,0,2
2007,3,357,139,3,0,0,4,2,132,43,2,0,0,2
2008,3,175,206,3,0,0,7,3,83,63,2,0,0,4
2009,5,407,219,3,0,0,5,4,125,38,2,0,0,2
2010,1,389,194,3,0,0,8,1,116,55,1,0,0,2
2011,10,895,137,1,0,0,0,5,167,51,1,0,0,0
2012,2,548,214,5,0,0,2,2,135,66,2,0,0,2
2013,6,575,203,0,0,0,0,3,125,60,0,0,0,0
2014,0,488,248,3,0,0,5,0,137,59,1,0,0,3
2015,32,828,2291,2,319,296,3,4,184,938,2,114,114,2
2016,28,577,1875,2,310,190,1,11,125,845,2,100,87,1
2017,108,3393,3423,490,372,327,703,41,668,1042,76,100,110,73
2018,270,2891,4107,203,308,251,227,98,609,1261,41,113,103,44
2019,538,3038,3954,412,309,275,505,146,637,1304,82,110,98,85
2020,12,0,358,148,322,253,302,6,0,134,30,86,84,38
2021,220,2192,3646,336,359,250,663,42,360,913,53,111,100,54
2022,50,1866,3269,498,353,305,614,19,471,932,57,123,114,70
