state,fishyr,month,fleet,sex,part,ageerr,Lbin_lo,Lbin_hi,Ntows,Nsamps,InputN,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35
coastal,1980,1,TWL,0,0,0,-1,-1,9,21,12,0,0,0,0,0,0,0.0562,0.0468,0.0116,0.1031,0.0937,0.0178,0.0843,0,0,0,0,0,0.0281,0,0.0281,0.0187,0,0,0,0,0,0,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,0.0562,0.0468,0.0116,0.1031,0.0937,0.0178,0.0843,0,0,0,0,0,0.0281,0,0.0281,0.0187,0,0,0,0,0,0,0,0,0,0.0116,0,0,0
coastal,1986,1,TWL,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,1992,1,TWL,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,1997,1,TWL,0,0,0,-1,-1,2,3,2,0,0,0,0,0,0,0.1234,0,0,0.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1234,0,0,0.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2000,1,TWL,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2001,1,TWL,0,0,0,-1,-1,4,121,21,0,0,0.0055,0.011,0.011,0.0128,0.056,0.0399,0.0177,0.0266,0.0355,0.031,0.0488,0.0621,0.0311,0.031,0.0177,0.0222,0.0177,0.0044,0,0.0133,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0.011,0.011,0.0128,0.056,0.0399,0.0177,0.0266,0.0355,0.031,0.0488,0.0621,0.0311,0.031,0.0177,0.0222,0.0177,0.0044,0,0.0133,0.0044,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2002,1,TWL,0,0,0,-1,-1,4,41,10,0,0,0.0425,0,0,0,0.0442,0.0992,0.055,0.0108,0.0799,0.0561,0.0334,0.0227,0.0323,0.0119,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0,0,0,0.0442,0.0992,0.055,0.0108,0.0799,0.0561,0.0334,0.0227,0.0323,0.0119,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2003,1,TWL,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2004,1,TWL,0,0,0,-1,-1,2,3,2,0,0,0,0,0,0,0.3432,0.1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3432,0.1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2006,1,TWL,0,0,0,-1,-1,2,2,2,0,0,0,0,0,0,0,0,0.2403,0,0,0,0,0,0,0,0.2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2403,0,0,0,0,0,0,0,0.2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
