"year","month","fleet","sex","partition","Nsamp","InputN","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
2014,7,"OR",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,"OR",3,0,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,6,3,1,0,0,0,0,0,0,0,0
2004,7,"OR",3,0,137,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,17,14,18,8,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,21,9,1,0,0,0,0,0,0,0,0
2005,7,"OR",3,0,140,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,20,10,9,10,4,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,28,12,2,2,1,0,1,0,0,0,1
2006,7,"OR",3,0,106,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,13,8,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,16,14,7,6,0,1,0,0,0,0,0,0
2007,7,"OR",3,0,428,189,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,15,24,39,34,47,22,22,21,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,11,28,37,51,18,9,3,0,1,0,0,0,0,0
2008,7,"OR",3,0,147,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,17,12,12,10,10,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,16,17,4,2,3,0,0,0,0,0,0,1
2009,7,"OR",3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,7,"OR",3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
2011,7,"OR",3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
