"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","InputN","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","F-21","F-22","F-23","F-24","F-25","F-26","F-27","F-28","F-29","F-30","F-31","F-32","F-33","F-34","F-35","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20","M-21","M-22","M-23","M-24","M-25","M-26","M-27","M-28","M-29","M-30","M-31","M-32","M-33","M-34","M-35"
2015,7,"OR",0,0,"NA",-1,-1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"OR",0,0,"NA",-1,-1,4,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,"OR",0,0,"NA",-1,-1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"OR",0,0,"NA",-1,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,"OR",0,0,"NA",-1,-1,6,4,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,"OR",0,0,"NA",-1,-1,7,4,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,"OR",0,0,"NA",-1,-1,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,"OR",3,0,"NA",-1,-1,393,37,0,7,26,43,37,21,34,26,14,9,4,5,3,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,25,30,13,33,17,7,8,3,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,"OR",3,0,"NA",-1,-1,367,30,0,1,26,69,52,15,14,8,7,15,11,7,4,5,5,3,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,16,17,27,7,4,9,10,8,3,3,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,7,"OR",3,0,"NA",-1,-1,313,129,0,0,2,26,36,38,17,23,10,3,3,0,3,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,14,30,39,23,11,4,4,2,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,7,"OR",3,0,"NA",-1,-1,255,100,0,0,2,20,51,24,25,6,5,6,2,3,2,3,1,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,26,10,0,0,5,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2017,7,"OR",3,0,"NA",-1,-1,236,104,0,0,4,38,21,23,9,3,5,3,3,3,2,3,2,5,1,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,32,16,20,14,2,1,2,2,2,0,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,7,"OR",3,0,"NA",-1,-1,192,102,0,0,3,22,29,13,12,7,3,1,2,1,1,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,29,15,7,3,4,1,1,0,0,1,2,2,1,1,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,2
2019,7,"OR",3,0,"NA",-1,-1,200,102,0,0,0,12,20,25,11,9,4,6,2,2,0,0,2,1,2,3,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,21,32,5,2,4,2,2,1,0,0,1,1,1,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0
2020,7,"OR",3,0,"NA",-1,-1,235,87,0,0,0,9,26,32,29,12,2,2,5,2,3,5,1,1,0,4,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,19,24,10,10,5,2,1,1,4,3,3,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021,7,"OR",3,0,"NA",-1,-1,609,130,0,0,4,19,83,73,49,33,11,15,7,11,4,7,7,6,8,4,2,4,2,2,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,2,12,56,69,31,16,17,3,3,3,1,2,3,2,5,9,1,0,1,2,3,0,3,0,0,0,0,4,0,0,0,0,2
2022,7,"OR",3,0,"NA",-1,-1,446,136,0,0,0,16,26,64,34,21,11,10,6,7,4,3,9,2,1,6,4,1,2,0,2,1,3,2,1,1,0,1,1,0,0,0,1,0,0,0,21,30,49,31,21,11,7,2,4,3,3,5,0,1,1,4,1,0,2,3,1,1,0,1,0,0,0,1,0,2,1,0
