"year","month","fleet","sex","partition","Nsamp","InputN","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
2008,7,"WA",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,7,"WA",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"WA",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,7,"WA",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,7,"WA",3,0,119,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,8,5,10,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,16,16,10,4,1,2,0,0,0,0,0
2004,7,"WA",3,0,84,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,9,4,12,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,8,10,8,4,2,0,0,1,0,0,0
2005,7,"WA",3,0,180,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,8,19,19,22,8,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,19,16,14,7,3,1,0,0,0,0,0
2006,7,"WA",3,0,141,83,0,0,0,0,0,2,1,0,0,1,0,1,3,4,3,6,6,9,9,8,9,10,7,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,2,2,3,10,10,13,3,3,0,0,0,0,0,0,0
2007,7,"WA",3,0,68,37,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,4,1,2,6,10,3,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,6,5,1,1,4,0,0,0,0,0,0,0
2008,7,"WA",3,0,338,134,0,0,0,0,0,0,0,0,0,1,6,0,1,2,2,5,6,12,22,16,35,43,35,16,7,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,4,4,11,22,34,22,9,8,0,0,0,0,0,0
