" ","Base","No sparse comps","Pre-recruit data","Canada catches","Catch SE 0.1","Bomb radiocarbon age bias"
"TOTAL_like","3980","3750","3985","3992","3980","4015"
"Survey_like","-9.76","-9.99","-8.06","-8.21","-9.75","-7.74"
"Length_comp_like","1477","1353","1480","1479","1477","1476"
"Age_comp_like","2524","2417","2525","2532","2524","2563"
"Parm_priors_like","0.184","0.189","0.184","0.179","0.184","0.134"
"Recr_Virgin_millions","3.72","3.69","3.72","4.63","3.72","3.94"
"SR_LN(R0)","8.22","8.21","8.22","8.44","8.22","8.28"
"NatM_uniform_Fem_GP_1","0.0779","0.0781","0.0779","0.0777","0.0779","0.0758"
"L_at_Amax_Fem_GP_1","59.2","59.2","59.2","59.3","59.2","59.3"
"L_at_Amax_Mal_GP_1","53.7","53.7","53.7","53.7","53.7","53.7"
"VonBert_K_Fem_GP_1","0.139","0.139","0.139","0.139","0.139","0.125"
"VonBert_K_Mal_GP_1","0.163","0.163","0.163","0.163","0.163","0.147"
"SSB_Virgin","8009","7908","8015","10033","8017","8417"
"Bratio_2023","0.351","0.344","0.35","0.313","0.351","0.414"
"SPRratio_2022","0.469","0.479","0.469","0.603","0.469","0.416"
