"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","45","54.09","113.69","75.61","399.66","598.69","581.78","501.07","572.69","699.13","NA"
"Total Dead","45","54.09","113.69","75.61","399.66","598.69","581.78","501.07","572.69","699.13","NA"
"1-SPR","0.0504136","0.0601088","0.11921","0.0797172","0.317253","0.437534","0.430914","0.390963","0.42643","0.502282",NA
"Exploitation Rate","0.00218329","0.0025485","0.00517005","0.00332987","0.0170167","0.0248883","0.024154","0.0207365","0.0234475","0.0287771",NA
"Age 5+ Biomass (mt)","20611.1","21224.2","21990.1","22706.6","23486.3","24055.1","24086.3","24163.6","24424.4","24294.7","74270.6"
"Spawning Output","1961.33","2065.04","2167.43","2258.65","2346.58","2401.72","2428.12","2452.81","2482.49","2506.4","2512.95"
"Lower Interval","1961.33","2065.04","2167.43","2258.65","2346.58","2401.72","2428.12","2452.81","2482.49","2506.4","2512.95"
"Upper Interval","1961.33","2065.04","2167.43","2258.65","2346.58","2401.72","2428.12","2452.81","2482.49","2506.4","2512.95"
"Recruits","2446.36","1263.36","1660.39","2136.31","1088.71","915.009","1290.82","1769.61","2913.35","2545.5","2780.04"
"Lower Interval","2446.36","1263.36","1660.39","2136.31","1088.71","915.009","1290.82","1769.61","2913.35","2545.5","2780.04"
"Upper Interval","2446.36","1263.36","1660.39","2136.31","1088.71","915.009","1290.82","1769.61","2913.35","2545.5","2780.04"
"Fraction Unfished","0.232229","0.244508","0.256632","0.267433","0.277845","0.284373","0.287499","0.290422","0.293937","0.296767","0.297543"
"Lower Interval","0.232229","0.244508","0.256632","0.267433","0.277845","0.284373","0.287499","0.290422","0.293937","0.296767","0.297543"
"Upper Interval","0.232229","0.244508","0.256632","0.267433","0.277845","0.284373","0.287499","0.290422","0.293937","0.296767","0.297543"
