"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1688.71,1588.18,1475.87,1371.49,1274.5,1184.37,1100.61,1022.78,950.445,883.229,820.767,762.722,708.782,658.657,612.077,568.791,528.566,491.186,456.449,424.169,394.172,366.296,340.391,316.319,293.949,273.161,253.843,235.891,219.209,203.706,189.3,175.913,163.472,151.911,141.168,131.185,121.907,113.286,105.274,97.8294,1285.5
1893,1687.5,1569.29,1475.87,1371.49,1274.5,1184.37,1100.6,1022.76,950.424,883.2,820.73,762.68,708.736,658.609,612.029,568.743,528.52,491.142,456.408,424.13,394.135,366.262,340.36,316.289,293.921,273.135,253.819,235.869,219.188,203.687,189.282,175.896,163.457,151.897,141.155,131.173,121.896,113.276,105.265,97.8203,1285.38
1894,1686.21,1568.16,1458.31,1371.49,1274.5,1184.37,1100.6,1022.76,950.412,883.18,820.703,762.645,708.697,658.566,611.984,568.699,528.476,491.1,456.367,424.092,394.1,366.228,340.328,316.26,293.894,273.11,253.795,235.847,219.168,203.668,189.265,175.88,163.442,151.883,141.142,131.16,121.885,113.265,105.255,97.8112,1285.26
1895,1684.86,1566.96,1457.26,1355.17,1274.5,1184.37,1100.6,1022.75,950.406,883.169,820.685,762.62,708.665,658.529,611.944,568.657,528.435,491.059,456.328,424.055,394.064,366.195,340.297,316.231,293.867,273.085,253.772,235.825,219.147,203.649,189.247,175.864,163.427,151.869,141.129,131.148,121.873,113.254,105.245,97.8021,1285.14
1896,1683.43,1565.7,1456.15,1354.2,1259.34,1184.37,1100.61,1022.76,950.42,883.186,820.702,762.635,708.676,658.536,611.946,568.655,528.43,491.052,456.321,424.047,394.056,366.187,340.29,316.224,293.86,273.078,253.766,235.82,219.142,203.644,189.243,175.859,163.423,151.865,141.125,131.145,121.87,113.252,105.243,97.7998,1285.11
1897,1681.93,1564.38,1454.98,1353.17,1258.43,1170.28,1100.61,1022.77,950.432,883.204,820.725,762.659,708.698,658.555,611.961,568.666,528.437,491.057,456.323,424.047,394.056,366.186,340.288,316.223,293.859,273.077,253.765,235.818,219.141,203.643,189.242,175.858,163.422,151.864,141.125,131.144,121.87,113.251,105.242,97.7992,1285.11
1898,1680.34,1562.98,1453.75,1352.08,1257.47,1169.43,1087.51,1022.77,950.439,883.216,820.742,762.68,708.721,658.576,611.979,568.68,528.447,491.063,456.326,424.049,394.056,366.186,340.288,316.221,293.858,273.075,253.763,235.817,219.14,203.642,189.241,175.857,163.421,151.864,141.124,131.143,121.869,113.25,105.241,97.7986,1285.1
1899,1678.66,1561.51,1452.45,1350.94,1256.46,1168.54,1086.73,1010.6,950.442,883.222,820.753,762.697,708.742,658.598,612,568.698,528.461,491.074,456.334,424.054,394.059,366.187,340.288,316.221,293.857,273.075,253.763,235.816,219.139,203.642,189.24,175.857,163.42,151.863,141.123,131.143,121.869,113.25,105.241,97.7983,1285.09
1900,1676.88,1559.94,1451.08,1349.73,1255.4,1167.6,1085.9,1009.88,939.132,883.225,820.759,762.707,708.756,658.616,612.019,568.716,528.477,491.086,456.342,424.059,394.062,366.189,340.289,316.221,293.856,273.074,253.762,235.815,219.138,203.641,189.239,175.856,163.419,151.862,141.123,131.142,121.868,113.249,105.24,97.7977,1285.09
1901,1674.98,1558.29,1449.62,1348.46,1254.28,1166.62,1085.03,1009.11,938.456,872.714,820.76,762.711,708.764,658.629,612.035,568.733,528.493,491.099,456.353,424.066,394.067,366.191,340.289,316.221,293.856,273.073,253.76,235.814,219.137,203.639,189.238,175.855,163.418,151.861,141.121,131.141,121.867,113.248,105.24,97.797,1285.08
1902,1672.98,1556.53,1448.08,1347.11,1253.09,1165.58,1084.11,1008.3,937.742,872.086,810.992,762.711,708.767,658.635,612.045,568.746,528.507,491.113,456.364,424.075,394.072,366.195,340.291,316.221,293.855,273.071,253.758,235.812,219.135,203.637,189.236,175.853,163.416,151.86,141.12,131.14,121.866,113.247,105.238,97.796,1285.06
1903,1670.84,1554.66,1446.45,1345.68,1251.84,1164.47,1083.15,1007.44,936.986,871.421,810.407,753.633,708.766,658.636,612.05,568.755,528.519,491.125,456.376,424.085,394.08,366.199,340.293,316.221,293.854,273.07,253.756,235.81,219.132,203.635,189.234,175.851,163.414,151.858,141.118,131.138,121.864,113.246,105.237,97.7948,1285.05
1904,1668.58,1552.68,1444.72,1344.16,1250.51,1163.31,1082.12,1006.54,936.194,870.718,809.788,753.088,700.328,658.634,612.05,568.758,528.525,491.135,456.386,424.095,394.088,366.205,340.296,316.223,293.854,273.069,253.755,235.807,219.13,203.632,189.231,175.848,163.412,151.856,141.116,131.136,121.862,113.244,105.236,97.7933,1285.03
1905,1666.18,1550.58,1442.88,1342.55,1249.1,1162.07,1081.04,1005.59,935.357,869.98,809.134,752.512,699.821,650.792,612.046,568.757,528.527,491.14,456.394,424.103,394.096,366.211,340.301,316.225,293.854,273.068,253.753,235.805,219.127,203.63,189.228,175.846,163.41,151.853,141.114,131.134,121.86,113.242,105.234,97.7916,1285.01
