"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"Total Dead","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"1-SPR","0.0523764","0.0630714","0.117386","0.0796021","0.31269","0.420634","0.416446","0.38638","0.407537","0.485339",NA
"Exploitation Rate","0.00201816","0.00235476","0.00477591","0.00307366","0.0157102","0.0229572","0.0222662","0.0195789","0.0210604","0.0265123",NA
"Age 5+ Biomass (mt)","22297.5","22970.5","23804.9","24599.4","25439.4","26078.6","26128.4","26236.5","26527.6","26416.4","74506.6"
"Spawning Output","2080.28","2188.19","2294.77","2389.92","2481.3","2538.29","2566.4","2592.05","2621.98","2645.85","2651.87"
"Lower Interval","1530.41994399323","1616.94477695791","1702.5825617831","1778.38379732772","1852.24367926992","1893.38737045491","1906.77412100304","1917.92234748143","1932.40783128326","1939.29866328519","1927.03807920138"
"Upper Interval","2630.14005600677","2759.43522304209","2886.9574382169","3001.45620267228","3110.35632073008","3183.19262954509","3226.02587899696","3266.17765251857","3311.55216871674","3352.40133671481","3376.70192079862"
"Recruits","2659.6","1302.4","1795.31","2338.95","1153","965.035","1387.64","1876.8","3115.76","2698.68","2929.31"
"Lower Interval","1977.19056704274","898.301410639791","1256.57624069883","1637.94554648661","732.339215879571","570.399504727553","726.426710328279","805.486836536034","1384.15222595115","1064.75748475856","1149.49464349409"
"Upper Interval","3577.53687373681","1888.28130503757","2565.01586748727","3339.96884953508","1815.29129012069","1632.70224378933","2650.70755552178","4372.9805134344","7013.65080775636","6839.93664909662","7464.89522562453"
"Fraction Unfished","0.25524","0.268479","0.281557","0.293232","0.304442","0.311435","0.314885","0.318031","0.321704","0.324633","0.325371"
"Lower Interval","0.198010619622618","0.2096418611661","0.221221076707122","0.231609752344068","0.241775679529504","0.247883951786883","0.25052801459644","0.252890224999022","0.255695156950269","0.257563816434633","0.256999616363305"
"Upper Interval","0.312469380377382","0.3273161388339","0.341892923292878","0.354854247655932","0.367108320470496","0.374986048213117","0.37924198540356","0.383171775000978","0.387712843049731","0.391702183565367","0.393742383636695"
