"","0.055","0.0575","0.06","0.0625","0.0643","0.065","0.0675","0.07","0.0725"
"totlikelihood",4183.82,4181.82,4180.38,4179.55,4179.1,4178.99,4178.85,4179.08,4179.62
"surveylike",-10.9329,-10.914,-10.8203,-10.8175,-10.677,-10.6143,-10.3473,-10.0225,-9.66033
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1804.85,1804.49,1804.12,1803.99,1803.62,1803.48,1802.96,1802.42,1801.94
"agelike",2352.89,2353.53,2354.42,2355.26,2356.01,2356.32,2357.47,2358.73,2359.96
"recrlike",-3.64605,-6.03968,-8.19675,-9.85597,-10.9107,-11.2837,-12.4512,-13.4197,-14.1315
"forerecrlike",0,0,0,0,0,0,0,0,0
"priorlike",40.6512,40.7423,40.8446,40.9584,41.0463,41.0817,41.2135,41.3527,41.4992
"parmlike",0,0,0,0,0,0,0,0,0
"R0",7.98954,8.03929,8.08765,8.13953,8.17209,8.18466,8.22903,8.27338,8.31737
"SB0",8742.86,8584.13,8438.69,8312.69,8192.87,8147.26,7992.42,7854.26,7721.5
"SBfinal",2212.92,2334.27,2449.92,2620.83,2700.99,2732.06,2846.04,2963.36,3081.9
"deplfinal",0.253112,0.271928,0.29032,0.31528,0.329676,0.335335,0.356092,0.377294,0.399133
"yieldspr",964.61,989.897,1015.17,1042.85,1058.59,1064.67,1086.17,1108.34,1130.32
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",8.30507,8.31567,8.33227,8.33383,8.33946,8.34164,8.35012,8.36082,8.36892
"lmaxfem",59.4215,59.4223,59.4394,59.4418,59.4458,59.4478,59.4608,59.4819,59.503
"kfem",0.137574,0.137506,0.137332,0.137281,0.137217,0.13719,0.137061,0.136882,0.136716
"cv1fem",0.0816603,0.0818038,0.0818466,0.0818982,0.0819219,0.0819268,0.0819006,0.0818184,0.0817443
"cv2fem",0.0432628,0.0428887,0.0425788,0.0423242,0.042148,0.0420838,0.0418878,0.0417322,0.04158
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",0,0,0,0,0,0,0,0,0
"lmaxmale",54.6581,54.6581,54.6661,54.6357,54.6307,54.6286,54.6228,54.6182,54.6108
"kmale",0.156177,0.156057,0.155856,0.155996,0.155962,0.15595,0.1559,0.155833,0.155804
"cv1male",0.0920708,0.0916124,0.0909787,0.0908752,0.0906293,0.0905355,0.0901886,0.0897767,0.0894663
"cv2male",0.0462305,0.0465765,0.0470164,0.047108,0.0472915,0.0473609,0.0476091,0.0478876,0.0480931
