"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_BH_steep",0.5,4188.76,0.00016093,10114.3,1636.89,0.16184,0
"4","SR_BH_steep",0.55,4184.15,6.39154e-05,9543.25,1686.77,0.17675,0
"3","SR_BH_steep",0.6,4180.73,0.000280079,9122.25,1916.56,0.210098,0
"2","SR_BH_steep",0.65,4178.29,0.000348441,8774.43,2173.03,0.247655,0
"1","SR_BH_steep",0.7,4176.6,0.000540967,8486.72,2444.29,0.288013,0
"6","SR_BH_steep",0.72,4176.11,0.00018245,8380.73,2553.4,0.304675,0
"7","SR_BH_steep",0.75,4175.57,4.91261e-05,8231.55,2715.05,0.329834,0
"8","SR_BH_steep",0.8,4175.15,0.00149953,8020.7,2997.2,0.373683,0
"9","SR_BH_steep",0.85,4175.1,0.00164188,7871.95,3316.85,0.421351,0
"10","SR_BH_steep",0.9,4175.59,9.84006e-05,7710.45,3584.34,0.464868,0
"11","SR_BH_steep",0.95,4176.62,3.44176e-05,7563.02,3830.2,0.506438,1
