"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","8150.3","7129.51547749982","9171.08452250018"
"Unfished Age 5+ Biomass (mt)","74568.4","66255.1735602937","82881.6264397063"
"Unfished Recruitment (R0)","3519.77","3110.23748539434","3929.30251460566"
"Spawning Output (2023)","2651.87","1927.03807920138","3376.70192079862"
"Fraction Unfished (2023)","0.325371","0.256999616363305","0.393742383636695"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","3260.12","2851.80658299272","3668.43341700728"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0315351","0.0304115937650701","0.0326586062349299"
"Yield with SPR Based On SB40\% (mt)","1110.18","978.503543630247","1241.85645636975"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","3636.29","3180.86296873235","4091.71703126765"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0273686","0.0263952250463219","0.0283419749536781"
"Yield with SPR50 at SB SPR (mt)","1052.99","928.096194995146","1177.88380500485"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","2077.09","1813.02797229089","2341.15202770911"
"SPR MSY","0.327294","0.324596560366997","0.329991439633003"
"Exploitation Rate Corresponding to SPR MSY","0.0493932","0.0478409026443523","0.0509454973556477"
"MSY (mt)","1205.11","1062.10945971677","1348.11054028323"
