"","Pre-star base","Model 2b","jittered model 2b","Resplit CA NTWL","Resplit CA NTWL fix","Resplit CA NTWL reweight"
"TOTAL_like",4138.15,3992.15,3955.33,3949.42,3964.76,3980.34
"Survey_like",-10.4918,-9.88494,-9.89122,-9.78356,-9.76733,-9.76095
"Length_comp_like",1803.29,1506.56,1477.92,1474.55,1488.39,1476.95
"Age_comp_like",2356.15,2508.41,2499.28,2495.77,2497.07,2524.05
"Parm_priors_like",0.129231,0.150969,0.176995,0.183743,0.183292,0.184262
"Recr_Virgin_millions",3.51977,3.84977,3.74987,3.72067,3.71744,3.71687
"SR_LN(R0)",8.16615,8.25577,8.22948,8.22166,8.22079,8.22064
"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72
"NatM_uniform_Fem_GP_1",0.0755925,0.0765617,0.0776488,0.0779197,0.0779018,0.0779404
"NatM_uniform_Mal_GP_1",0.0643,0.0643,0.0643,0.0643,0.0643,0.0643
"L_at_Amax_Fem_GP_1",59.4463,59.194,59.213,59.2286,59.2204,59.2228
"L_at_Amax_Mal_GP_1",54.6481,53.4984,53.7305,53.7432,53.735,53.713
"VonBert_K_Fem_GP_1",0.1372,0.138894,0.139036,0.138968,0.139058,0.139048
"VonBert_K_Mal_GP_1",0.155821,0.163445,0.162353,0.162307,0.162454,0.162564
"SSB_Virgin",8150.3,8581.69,8136.24,8021.96,8017.08,8008.63
"Bratio_2021",0.321704,0.329128,0.340088,0.346186,0.346089,0.347682
"SPRratio_2020",0.38638,0.326121,0.355141,0.362812,0.363533,0.36357
