"Year","1_CA_TWL (mt)","2_OR_TWL (mt)","3_WA_TWL (mt)","4_CA_NTWL (mt)","5_OR_NTWL (mt)","6_WA_NTWL (mt)","7_CA_REC (mt)","8_OR_REC (mt)","9_WA_REC (mt)","10_CA_ASHOP (mt)","11_OR_ASHOP (mt)","12_WA_ASHOP (mt)","13_CA_FOR (mt)","14_OR_FOR (mt)","15_WA_FOR (mt)","Total Catch (mt)","Total Dead (mt)"
2013,1.53,6.08,4.58,6.37,2.76,3.29,14.8,3.99,0.97,0,0.08,0.55,0,0,0,45,45
2014,1.99,10.33,2.16,4.4,1.82,5.98,22.37,3.02,1.39,0,0.37,0.26,0,0,0,54.09,54.09
2015,7.05,41.07,3.95,5.22,3.2,9.63,26.87,14.32,2.17,0,0.08,0.13,0,0,0,113.69,113.69
2016,2.83,17,5.03,3.09,6.66,5.14,23.71,9.75,1.88,0,0.23,0.29,0,0,0,75.61,75.61
2017,75.32,148.06,37.29,7.19,5.65,3.28,83.43,28.24,4.63,0,1.8,4.77,0,0,0,399.66,399.66
2018,139.66,173.89,156.27,7.49,4.38,2.17,61.84,43.59,3.85,0,3.02,2.53,0,0,0,598.69,598.69
2019,176.22,194.5,65.41,10.64,6.23,1.73,71.37,38.71,11.95,0,0.71,4.31,0,0,0,581.78,581.78
2020,73.67,186.61,78.89,18.63,7.47,2.95,76.7,60.57,7.26,0,0.21,0.72,0,0,0,513.68,513.68
2021,78.46,223.46,73.59,25.62,6.55,1.37,72.97,38.56,32.18,0,3.25,2.67,0,0,0,558.68,558.68
2022,90.08,315.27,102.41,22.53,10.99,0.89,62.6,55.65,34.16,0,4.24,1.54,0,0,0,700.36,700.36
