"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output (millions of eggs)","8008.63","6996.08712605481","9021.17287394519"
"Unfished Age 5+ Biomass (mt)","75272.7","67024.7599606187","83520.6400393813"
"Unfished Recruitment (R0)","3716.87","3296.96535598815","4136.77464401185"
"Spawning Output (millions of eggs) (2023)","2808.87","2050.18950118838","3567.55049881162"
"Fraction Unfished (2023)","0.350731","0.278388925327025","0.423073074672975"
"Reference Points Based SO40\%","","",""
"Proxy Spawning Output (millions of eggs) SO40\%","3203.45","2798.43324241472","3608.46675758528"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.0324809","0.0313937706966231","0.0335680293033769"
"Yield with SPR Based On SO40\% (mt)","1151.99","1018.02391370351","1285.95608629649"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (millions of eggs) (SPR50)","3573.08","3121.32986116735","4024.83013883265"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0282079","0.0272611178376641","0.0291546821623359"
"Yield with SPR50 at SO SPR (mt)","1093.67","966.445797817528","1220.89420218247"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output (millions of eggs) at MSY (SO MSY)","2063.47","1797.24809197992","2329.69190802008"
"SPR MSY","0.329828","0.327181872224112","0.332474127775888"
"Exploitation Rate Corresponding to SPR MSY","0.0503057","0.0488272521273258","0.0517841478726742"
"MSY (mt)","1246.13","1101.3131610923","1390.9468389077"
