"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,18.8437,17.9429,84.4799,218.611,396.735,594.167,789.779,968.655,1121.92,1245.54,1338.93,1403.7,1442.77,1459.61,1457.84,1440.93,1412.03,1373.94,1329.02,1279.29,1226.38,1171.63,1116.1,1060.63,1005.86,952.274,900.23,849.983,801.705,755.502,711.429,669.503,629.71,592.012,556.355,522.674,490.896,460.94,432.725,406.169,6123.94
1893,18.831,17.7498,84.4799,218.611,396.735,594.164,789.734,968.563,1121.81,1245.43,1338.81,1403.59,1442.67,1459.51,1457.75,1440.84,1411.95,1373.86,1328.95,1279.22,1226.32,1171.57,1116.05,1060.58,1005.81,952.231,900.19,849.946,801.67,755.469,711.399,669.475,629.683,591.987,556.331,522.652,490.875,460.921,432.707,406.152,6123.68
1894,18.8175,17.7378,83.5705,218.611,396.735,594.164,789.729,968.507,1121.7,1245.3,1338.69,1403.47,1442.55,1459.41,1457.65,1440.75,1411.87,1373.78,1328.88,1279.15,1226.25,1171.51,1116,1060.53,1005.77,952.187,900.149,849.908,801.635,755.436,711.368,669.446,629.656,591.961,556.308,522.63,490.854,460.901,432.689,406.135,6123.43
1895,18.8033,17.7252,83.5142,216.258,396.735,594.164,789.729,968.501,1121.64,1245.19,1338.56,1403.34,1442.43,1459.29,1457.54,1440.65,1411.77,1373.7,1328.8,1279.08,1226.19,1171.45,1115.94,1060.48,1005.72,952.143,900.108,849.87,801.599,755.403,711.337,669.417,629.629,591.936,556.284,522.608,490.834,460.882,432.671,406.118,6123.17
1896,18.7884,17.7118,83.4546,216.112,392.465,594.166,789.762,968.569,1121.71,1245.2,1338.52,1403.29,1442.37,1459.24,1457.5,1440.61,1411.74,1373.66,1328.77,1279.06,1226.17,1171.43,1115.92,1060.46,1005.71,952.13,900.096,849.859,801.589,755.394,711.328,669.409,629.622,591.929,556.278,522.602,490.828,460.877,432.666,406.113,6123.11
1897,18.7726,17.6977,83.3915,215.958,392.2,587.771,789.775,968.628,1121.81,1245.31,1338.55,1403.27,1442.34,1459.2,1457.46,1440.58,1411.71,1373.64,1328.75,1279.04,1226.15,1171.42,1115.91,1060.46,1005.7,952.124,900.091,849.854,801.585,755.39,711.326,669.407,629.62,591.927,556.276,522.601,490.827,460.876,432.665,406.112,6123.09
1898,18.7558,17.6828,83.3252,215.794,391.92,587.375,781.274,968.644,1121.88,1245.42,1338.67,1403.31,1442.32,1459.17,1457.43,1440.55,1411.69,1373.62,1328.73,1279.02,1226.14,1171.41,1115.9,1060.45,1005.69,952.118,900.086,849.85,801.581,755.387,711.323,669.404,629.617,591.925,556.274,522.599,490.825,460.874,432.664,406.111,6123.07
1899,18.7381,17.6671,83.2552,215.623,391.624,586.956,780.749,958.22,1121.9,1245.5,1338.79,1403.43,1442.36,1459.15,1457.4,1440.52,1411.66,1373.59,1328.71,1279.01,1226.12,1171.4,1115.89,1060.44,1005.68,952.112,900.081,849.846,801.578,755.384,711.32,669.402,629.615,591.924,556.273,522.598,490.824,460.873,432.663,406.11,6123.06
1900,18.7193,17.6504,83.181,215.442,391.313,586.512,780.191,957.574,1109.83,1245.52,1338.87,1403.55,1442.48,1459.19,1457.37,1440.48,1411.62,1373.56,1328.69,1278.98,1226.11,1171.38,1115.88,1060.43,1005.68,952.105,900.075,849.84,801.573,755.38,711.317,669.399,629.613,591.921,556.271,522.596,490.822,460.872,432.662,406.109,6123.05
1901,18.6993,17.6326,83.1023,215.25,390.984,586.046,779.599,956.887,1109.08,1232.11,1338.89,1403.64,1442.61,1459.31,1457.41,1440.46,1411.59,1373.53,1328.66,1278.96,1226.08,1171.36,1115.86,1060.42,1005.66,952.095,900.067,849.834,801.567,755.375,711.312,669.395,629.609,591.918,556.268,522.593,490.82,460.87,432.66,406.107,6123.03
1902,18.678,17.6138,83.0189,215.046,390.635,585.553,778.979,956.159,1108.28,1231.27,1324.47,1403.65,1442.69,1459.44,1457.53,1440.49,1411.56,1373.49,1328.62,1278.93,1226.06,1171.34,1115.84,1060.4,1005.65,952.084,900.057,849.825,801.56,755.369,711.307,669.39,629.605,591.914,556.265,522.59,490.817,460.867,432.657,406.105,6123
1903,18.6553,17.5937,82.9302,214.83,390.266,585.031,778.323,955.396,1107.43,1230.38,1323.57,1388.54,1442.71,1459.52,1457.65,1440.61,1411.6,1373.47,1328.58,1278.89,1226.03,1171.31,1115.82,1060.38,1005.63,952.069,900.045,849.815,801.551,755.361,711.3,669.384,629.6,591.91,556.26,522.586,490.814,460.864,432.655,406.102,6122.96
1904,18.6312,17.5724,82.8358,214.601,389.874,584.478,777.628,954.589,1106.55,1229.44,1322.61,1387.59,1427.17,1459.53,1457.73,1440.73,1411.71,1373.5,1328.56,1278.86,1225.99,1171.28,1115.79,1060.36,1005.61,952.053,900.03,849.802,801.54,755.352,711.292,669.377,629.593,591.904,556.255,522.582,490.81,460.86,432.651,406.099,6122.92
1905,18.6056,17.5497,82.7353,214.356,389.458,583.891,776.891,953.735,1105.61,1228.45,1321.6,1386.58,1426.19,1443.81,1457.74,1440.8,1411.82,1373.6,1328.58,1278.83,1225.95,1171.25,1115.76,1060.33,1005.59,952.033,900.013,849.788,801.528,755.341,711.282,669.369,629.586,591.897,556.249,522.577,490.805,460.856,432.647,406.096,6122.87
1906,18.5785,17.5255,82.6283,214.096,389.014,583.267,776.11,952.829,1104.62,1227.41,1320.53,1385.51,1425.15,1442.81,1442.04,1440.81,1411.89,1373.71,1328.68,1278.85,1225.92,1171.21,1115.73,1060.3,1005.56,952.01,899.994,849.771,801.513,755.328,711.271,669.359,629.578,591.89,556.243,522.571,490.8,460.851,432.643,406.092,6122.81
1907,18.5498,17.5,82.5147,213.819,388.542,582.603,775.279,951.868,1103.57,1226.3,1319.41,1384.4,1424.05,1441.76,1441.04,1425.29,1411.9,1373.78,1328.79,1278.95,1225.95,1171.18,1115.69,1060.26,1005.53,951.983,899.971,849.751,801.496,755.313,711.259,669.348,629.568,591.881,556.235,522.564,490.793,460.845,432.638,406.087,6122.75
1908,18.5195,17.473,82.3944,213.525,388.04,581.896,774.396,950.848,1102.45,1225.13,1318.22,1383.21,1422.9,1440.65,1439.99,1424.3,1396.68,1373.79,1328.85,1279.05,1226.04,1171.2,1115.66,1060.23,1005.5,951.954,899.945,849.729,801.477,755.297,711.244,669.335,629.557,591.872,556.226,522.556,490.786,460.839,432.632,406.082,6122.68
1909,18.4876,17.4445,82.2673,213.214,387.506,581.143,773.455,949.761,1101.27,1223.89,1316.96,1381.96,1421.68,1439.48,1438.87,1423.26,1395.72,1358.98,1328.85,1279.11,1226.13,1171.29,1115.68,1060.2,1005.47,951.921,899.916,849.703,801.455,755.278,711.228,669.321,629.544,591.861,556.217,522.547,490.779,460.832,432.626,406.076,6122.61
1910,18.454,17.4144,82.1331,212.885,386.941,580.344,772.453,948.605,1100,1222.58,1315.62,1380.64,1420.39,1438.25,1437.71,1422.15,1394.69,1358.04,1314.53,1279.11,1226.19,1171.37,1115.76,1060.22,1005.44,951.886,899.884,849.675,801.43,755.256,711.209,669.305,629.53,591.848,556.206,522.538,490.77,460.824,432.619,406.07,6122.52
1911,18.4185,17.3828,81.9916,212.538,386.344,579.498,771.39,947.375,1098.66,1221.17,1314.2,1379.23,1419.03,1436.94,1436.47,1421,1393.61,1357.04,1313.62,1265.31,1226.18,1171.43,1115.84,1060.29,1005.45,951.859,899.85,849.644,801.402,755.232,711.188,669.287,629.514,591.834,556.193,522.527,490.76,460.816,432.611,406.063,6122.43
1912,18.3808,17.3493,81.8424,212.172,385.714,578.604,770.264,946.068,1097.24,1219.68,1312.69,1377.74,1417.58,1435.56,1435.17,1419.77,1392.47,1355.98,1312.65,1264.43,1212.96,1171.42,1115.89,1060.37,1005.52,951.87,899.823,849.611,801.372,755.205,711.164,669.266,629.496,591.819,556.18,522.515,490.75,460.806,432.602,406.055,6122.34
1913,18.3409,17.3138,81.6848,211.786,385.05,577.66,769.075,944.685,1095.72,1218.09,1311.08,1376.16,1416.05,1434.09,1433.78,1418.48,1391.27,1354.87,1311.62,1263.5,1212.12,1158.79,1115.89,1060.41,1005.59,951.934,899.833,849.584,801.34,755.176,711.138,669.243,629.476,591.801,556.165,522.501,490.738,460.796,432.593,406.046,6122.23
1914,18.2986,17.2762,81.5177,211.378,384.349,576.665,767.819,943.224,1094.12,1216.41,1309.37,1374.47,1414.42,1432.54,1432.32,1417.11,1390,1353.7,1310.55,1262.51,1211.22,1157.98,1103.85,1060.41,1005.63,952.001,899.892,849.593,801.314,755.145,711.11,669.218,629.454,591.782,556.148,522.486,490.725,460.784,432.582,406.037,6122.12
1915,18.2542,17.2364,81.3406,210.946,383.609,575.615,766.495,941.682,1092.42,1214.62,1307.56,1372.67,1412.68,1430.88,1430.76,1415.66,1388.66,1352.47,1309.42,1261.48,1210.27,1157.12,1103.08,1048.97,1005.63,952.039,899.954,849.648,801.322,755.12,711.08,669.19,629.429,591.76,556.129,522.47,490.71,460.771,432.571,406.027,6122
1916,18.2075,17.1945,81.1533,210.487,382.824,574.507,765.099,940.056,1090.63,1212.74,1305.64,1370.77,1410.83,1429.12,1429.11,1414.12,1387.23,1351.16,1308.22,1260.39,1209.28,1156.22,1102.26,1048.23,994.777,952.032,899.989,849.706,801.372,755.126,711.055,669.162,629.403,591.736,556.108,522.451,490.694,460.757,432.559,406.016,6121.87
1917,18.1577,17.1505,80.9562,210,381.953,573.124,763.106,937.508,1087.68,1209.54,1302.33,1367.48,1407.64,1426.1,1426.29,1411.52,1384.85,1348.98,1306.24,1258.59,1207.65,1154.74,1100.91,1047.01,993.675,941.388,899.635,849.417,801.13,754.898,710.805,668.901,629.155,591.505,555.893,522.252,490.509,460.585,432.399,405.867,6119.68
1918,18.1051,17.1037,80.749,209.489,381.045,571.691,760.95,934.555,1084.09,1205.54,1298.13,1363.26,1403.53,1422.2,1422.64,1408.16,1381.78,1346.19,1303.71,1256.3,1205.58,1152.86,1099.21,1045.47,992.275,940.122,889.372,848.891,800.68,754.505,710.438,668.523,628.777,591.148,555.561,521.943,490.222,460.318,432.15,405.635,6116.26
1919,18.0496,17.0541,80.5285,208.953,380.114,570.32,759.015,931.861,1080.6,1201.47,1293.75,1358.77,1399.11,1417.96,1418.67,1404.49,1378.42,1343.15,1300.96,1253.82,1203.34,1150.84,1097.39,1043.82,990.781,938.771,888.15,839.183,800.163,754.061,710.049,668.16,628.406,590.778,555.212,521.618,489.919,460.036,431.888,405.391,6112.69
1920,17.9915,17.0018,80.2949,208.383,379.169,569.071,757.548,930.049,1078.18,1198.38,1290.18,1354.97,1395.25,1414.19,1415.08,1401.14,1375.35,1340.36,1298.45,1251.56,1201.31,1149.03,1095.77,1042.36,989.468,937.584,887.083,838.225,791.192,753.742,709.789,667.94,628.2,590.556,554.982,521.4,489.717,459.849,431.714,405.23,6110.37
1921,17.9303,16.9471,80.0488,207.779,378.133,567.639,755.847,928.186,1076.01,1195.61,1286.78,1351.15,1391.27,1410.22,1411.25,1397.54,1372.03,1337.33,1295.71,1249.1,1199.12,1147.06,1094.01,1040.79,988.058,936.318,885.94,837.197,790.269,745.274,709.472,667.68,627.979,590.35,554.761,521.173,489.502,459.649,431.528,405.058,6107.92
1922,17.8661,16.8894,79.7913,207.142,377.04,566.111,754.003,926.2,1073.98,1193.36,1283.98,1347.77,1387.53,1406.36,1407.45,1393.9,1368.63,1334.21,1292.89,1246.57,1196.85,1145.04,1092.21,1039.18,986.627,935.039,884.794,836.165,789.343,744.445,701.538,667.417,627.767,590.172,554.595,520.992,489.313,459.47,431.362,404.904,6105.76
1923,17.799,16.829,79.5198,206.476,375.888,564.488,752.006,923.993,1071.75,1191.2,1281.65,1344.93,1384.15,1402.67,1403.68,1390.22,1365.14,1330.97,1289.93,1243.9,1194.46,1142.92,1090.32,1037.51,985.136,933.712,883.611,835.107,788.392,743.593,700.776,659.971,627.536,589.988,554.442,520.849,489.155,459.304,431.205,404.758,6103.73
1924,17.7291,16.7658,79.2351,205.773,374.671,562.724,749.755,921.393,1069.01,1188.51,1279.1,1342.26,1381.02,1399.04,1399.8,1386.33,1361.38,1327.43,1286.67,1240.94,1191.8,1140.55,1088.21,1035.64,983.474,932.234,882.295,833.933,787.341,742.648,699.929,659.211,620.495,589.733,554.234,520.673,488.991,459.127,431.023,404.585,6101.33
1925,17.6566,16.6999,78.9375,205.036,373.387,560.859,747.308,918.487,1065.84,1185.32,1276.1,1339.5,1378.21,1395.82,1396.14,1382.47,1357.54,1323.75,1283.22,1237.78,1188.95,1137.99,1085.93,1033.61,981.68,930.642,880.88,832.674,786.218,741.643,699.024,658.4,619.768,583.104,553.983,520.466,488.815,458.963,430.847,404.405,6098.78
1926,17.5816,16.6316,78.6274,204.265,372.038,558.877,744.686,915.269,1062.22,1181.54,1272.41,1336.1,1375.15,1392.78,1392.75,1378.7,1353.61,1319.88,1279.54,1234.36,1185.82,1135.16,1083.41,1031.37,979.69,928.878,879.314,831.281,784.977,740.534,698.031,657.505,618.964,582.382,547.72,520.196,488.589,458.768,430.666,404.215,6095.83
1927,17.5045,16.561,78.3059,203.462,370.628,556.798,741.899,911.79,1058.13,1177.07,1267.85,1331.72,1371.14,1389.19,1389.25,1374.92,1349.53,1315.72,1275.49,1230.53,1182.28,1131.94,1080.51,1028.78,977.386,926.833,877.498,829.666,783.537,739.247,696.879,656.47,618.028,581.539,546.96,514.239,488.264,458.489,430.42,403.986,6092
1928,17.4261,16.4884,77.9735,202.631,369.185,554.759,739.306,908.626,1054.39,1172.83,1263.33,1327.19,1366.86,1385.34,1385.84,1371.61,1345.96,1311.86,1271.57,1226.73,1178.71,1128.65,1077.52,1026.1,974.998,924.715,875.624,828.006,782.065,737.939,695.712,655.427,617.094,580.696,546.202,513.558,482.702,458.212,430.184,403.78,6088.58
1929,17.3469,16.4145,77.6316,201.77,367.656,552.547,736.541,905.398,1050.69,1168.65,1258.74,1322.42,1362.17,1380.97,1381.95,1368.2,1342.69,1308.36,1267.82,1222.94,1175.05,1125.22,1074.37,1023.25,972.447,922.447,873.615,826.231,780.495,736.547,694.475,654.326,616.11,579.815,545.407,512.843,482.059,452.99,429.922,403.557,6085.14
1930,17.2669,16.3399,77.2836,200.884,366.081,550.246,733.612,902.015,1046.92,1164.45,1254.08,1317.39,1357.01,1375.95,1377.31,1364.09,1339.1,1304.96,1264.24,1219.16,1171.26,1121.59,1070.99,1020.15,969.648,919.943,871.391,824.261,778.753,735.006,693.108,653.11,615.026,578.845,544.538,512.058,481.352,452.353,424.991,403.281,6081.27
1931,17.1864,16.2645,76.9323,199.983,364.452,547.79,730.353,898.147,1042.71,1159.97,1249.3,1312.28,1351.65,1370.57,1372.17,1359.4,1334.98,1301.38,1260.87,1215.64,1167.56,1117.91,1067.47,1016.87,966.655,917.245,868.979,822.118,776.855,733.327,691.622,651.79,613.851,577.797,543.599,511.215,480.591,451.667,424.372,398.635,6077.08
1932,17.1052,16.1888,76.5776,199.072,362.795,545.288,727.003,894.036,1038.06,1155.06,1244.21,1306.96,1346.07,1364.83,1366.49,1354.03,1330.12,1297.14,1257.2,1212.2,1164.02,1114.23,1063.83,1013.41,963.443,914.315,866.34,819.761,774.761,731.471,689.979,650.334,612.557,576.643,542.568,510.29,479.759,450.914,423.693,398.022,6068.29
1933,17.0223,16.1123,76.2208,198.154,361.131,542.791,723.757,890.161,1033.67,1150.4,1239.53,1302.27,1341.26,1359.83,1361.36,1348.98,1325.38,1292.88,1253.52,1209.06,1161.08,1111.17,1060.61,1010.22,960.403,911.497,863.776,817.459,772.712,729.66,688.382,648.928,611.317,575.548,541.597,509.427,478.99,450.226,423.073,397.465,6060.7
1934,16.9348,16.0342,75.8607,197.231,359.466,540.348,720.607,886.447,1029.49,1145.83,1234.78,1297.57,1336.61,1355.1,1356.48,1344.01,1320.51,1288.34,1249.47,1205.58,1158.13,1108.42,1057.75,1007.22,957.425,908.669,861.16,815.083,770.584,727.77,686.715,647.462,610.029,574.415,540.598,508.544,478.206,449.529,422.451,396.906,6053.41
1935,16.8392,15.9517,75.493,196.298,357.763,537.758,717.196,882.39,1025.01,1141.05,1229.78,1292.55,1331.77,1350.4,1351.78,1339.21,1315.67,1283.64,1245.1,1201.7,1154.82,1105.61,1055.15,1004.51,954.592,905.858,858.493,812.619,768.349,725.769,684.939,645.896,608.653,573.206,539.535,507.607,477.378,448.794,421.797,396.322,6046.05
1936,16.7312,15.8617,75.1046,195.344,356.037,535.085,713.521,877.888,1019.95,1135.7,1224.25,1286.92,1326.24,1345.16,1346.77,1334.27,1310.7,1278.68,1240.33,1197.3,1150.91,1102.28,1052.32,1001.89,951.894,903.055,855.724,809.998,765.928,723.573,682.971,644.147,607.107,571.844,538.335,506.549,476.442,447.964,421.059,395.664,6037.91
1937,16.6086,15.7599,74.6809,194.338,354.289,532.451,709.893,873.327,1014.77,1130.21,1218.72,1281.42,1320.78,1339.9,1341.85,1329.61,1306.12,1274.08,1235.74,1192.89,1146.85,1098.69,1049.26,999.311,949.505,900.587,853.152,807.454,763.521,721.351,680.957,642.344,605.508,570.433,537.094,505.458,475.482,447.117,420.309,394.997,6030.06
1938,16.4724,15.6445,74.2017,193.24,352.439,529.773,706.333,868.821,1009.41,1124.35,1212.68,1275.44,1314.93,1334.16,1336.38,1324.55,1301.37,1269.46,1231.15,1188.34,1142.5,1094.7,1045.75,996.325,946.984,898.258,850.758,804.97,761.071,719.035,678.822,640.409,603.776,568.895,535.737,504.263,474.43,446.19,419.49,394.271,6021.74
1939,16.3284,15.5162,73.6583,192.001,350.45,527.012,702.785,864.466,1004.2,1118.41,1206.39,1269.12,1308.79,1328.25,1330.67,1319.17,1296.43,1264.86,1226.69,1183.93,1138.16,1090.56,1041.97,993.002,944.166,895.884,848.568,802.721,758.738,716.736,676.651,638.409,601.964,567.275,534.299,502.994,473.314,445.208,418.625,393.507,6013.33
1940,16.1808,15.3806,73.054,190.596,348.229,524.126,699.272,860.284,999.259,1112.63,1199.91,1262.34,1302.06,1321.79,1324.5,1313.25,1290.9,1259.81,1222.02,1179.45,1133.76,1086.25,1037.88,989.276,940.895,893.106,846.223,800.561,756.533,714.461,674.415,636.3,600.021,565.514,532.723,501.594,472.076,444.117,417.662,392.658,6004.15
1941,16.0432,15.2415,72.4156,189.028,345.6,520.554,695.043,855.468,993.781,1106.29,1192.53,1254.05,1293.31,1312.98,1315.92,1304.98,1282.95,1252.34,1215.14,1173.06,1127.69,1080.4,1032.24,983.967,936.035,888.778,842.453,797.283,753.506,711.462,671.414,633.395,597.289,562.988,530.414,499.501,470.187,442.417,416.134,391.282,5987.56
1942,15.92,15.1119,71.7608,187.377,342.773,516.662,690.305,850.219,988.047,1099.91,1185.24,1245.67,1284,1303.23,1306.15,1295.5,1273.85,1243.63,1206.98,1165.55,1120.73,1073.81,1025.93,977.922,930.366,883.587,837.812,793.212,749.937,708.165,668.175,630.184,594.196,560.082,527.724,497.035,467.943,440.383,414.294,389.618,5967.22
1943,15.8085,14.9958,71.1508,185.689,339.902,512.827,685.668,844.871,982.095,1093.04,1177.06,1235.86,1272.5,1290.39,1292.65,1281.92,1260.6,1230.88,1194.81,1154.13,1110.18,1064.03,1016.73,969.201,922.1,875.865,830.713,786.789,744.196,703.03,663.418,625.595,589.737,555.828,523.734,493.329,464.523,437.24,411.413,386.981,5932.69
1944,15.6931,14.8908,70.6041,184.111,336.846,508.502,680.058,837.511,972.123,1079.42,1158.8,1212.71,1244.86,1259.15,1259.11,1247.53,1226.52,1197.91,1163.36,1124.41,1082.38,1038.25,992.83,946.937,901.289,856.404,812.607,770.041,728.79,688.912,650.467,613.549,578.356,545.036,513.563,483.802,455.629,428.956,403.708,379.818,5829.81
1945,15.6032,14.7821,70.1098,182.696,333.972,503.827,674.102,829.673,960.646,1062.44,1134.98,1181.47,1206.77,1215.55,1211.69,1198.15,1176.97,1149.55,1117.08,1080.64,1041.3,999.99,957.417,914.163,870.853,828.06,786.191,745.494,706.058,667.932,631.146,595.736,561.776,529.435,498.84,469.961,442.667,416.843,392.403,369.276,5675.98
1946,15.4873,14.6974,69.5977,181.411,331.297,498.981,666.189,817.806,941.381,1031.34,1089.28,1120.94,1133.1,1131.8,1121.31,1104.39,1082.76,1057.3,1028.47,996.688,962.434,926.314,888.919,850.698,812.058,773.483,735.435,698.244,662.112,627.11,593.273,560.625,529.196,499.05,470.338,443.175,417.531,393.293,370.359,348.652,5368.47
1947,15.4326,14.5883,69.199,180.08,328.85,494.628,659.487,809.068,931.883,1019.64,1072.24,1096.04,1099.37,1089.65,1072.29,1050.55,1026.13,999.851,971.909,942.217,910.803,877.838,843.681,808.731,773.296,737.678,702.263,667.434,633.465,600.518,568.641,537.858,508.18,479.629,452.258,426.2,401.555,378.295,356.316,335.523,5176.03
1948,15.4413,14.5367,68.6852,179.056,326.574,491.645,655.608,804.936,929.263,1021,1076.12,1098.5,1096.9,1080.28,1055.59,1027.37,997.958,968.303,938.623,908.688,878.101,846.655,814.336,781.35,747.967,714.399,680.868,647.687,615.175,583.556,552.96,523.413,494.922,467.49,441.126,415.874,391.85,369.142,347.72,327.485,5061.84
1949,15.4932,14.5449,68.4426,177.713,324.484,487.457,650.352,798.629,923.024,1017.01,1076.97,1102.46,1099.83,1078.67,1047.58,1012.57,977.204,942.993,910.265,878.786,848.021,817.365,786.458,755.161,723.571,691.87,660.199,628.721,597.692,567.38,537.971,509.568,482.184,455.813,430.449,406.095,382.785,360.622,339.683,319.938,4955.02
1950,15.5962,14.5938,68.4812,177.081,321.958,484.113,644.7,792.362,916.171,1010.75,1073.42,1104,1104.41,1082.1,1046.47,1005.26,963.434,923.644,886.692,852.424,820.279,789.511,759.38,729.425,699.426,669.402,639.469,609.718,580.267,551.327,523.126,495.819,469.489,444.136,419.749,396.314,373.83,352.322,331.883,312.581,4850.46
1951,15.7463,14.6909,68.7113,177.174,320.694,479.988,639.798,785,908.565,1002.87,1066.44,1099.96,1105.52,1086.14,1049.33,1003.73,956.024,910.187,868.078,829.952,795.298,763.33,733.17,703.999,675.296,646.789,618.445,590.331,562.501,535.04,508.124,481.948,456.644,432.277,408.84,386.316,364.688,343.95,324.124,305.29,4745.78
1952,15.9521,14.8322,69.1683,177.762,320.724,477.622,633.466,777.671,898.289,992.422,1056,1090.92,1099.94,1086.1,1052.49,1006.04,954.397,903.202,855.576,812.762,774.62,740.406,709.199,680.05,652.107,624.821,597.891,571.249,544.93,518.961,493.402,468.402,444.13,420.698,398.158,376.498,355.698,335.737,316.608,298.328,4645.6
