"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"Total Dead","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"1-SPR","0.05","0.06","0.11","0.07","0.29","0.39","0.38","0.36","0.39","0.47","NA"
"Exploitation Rate","0.00","0.00","0.00","0.00","0.01","0.02","0.02","0.02","0.02","0.03","NA"
"Age 5+ Biomass (mt)","23,818","24,648","25,609","26,400","27,265","27,951","28,048","28,043","28,139","27,842","75,204"
"Spawning Output (millions of eggs)","2,136","2,262","2,386","2,497","2,603","2,674","2,715","2,750","2,784","2,808","2,809"
"Interval","2,136–2,136","2,262–2,262","2,386–2,386","2,497–2,497","2,603–2,603","2,674–2,674","2,715–2,715","2,750–2,750","2,784–2,784","2,808–2,808","2,809–2,809"
"Recruits","2,881","1,539","1,507","1,944","974","927","1,812","2,235","3,200","2,825","3,150"
"Interval","2,881–2,881","1,539–1,539","1,507–1,507","1,944–1,944","974–974","927–927","1,812–1,812","2,235–2,235","3,200–3,200","2,825–2,825","3,150–3,150"
"Fraction Unfished","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4"
"Interval","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.3–0.3","0.4–0.4","0.4–0.4"
