"file","caption","alt_text","category","png_time","StartTime"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts7_Spawning_output.png","Spawning output",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts8_Spawning_output_by_area.png","Spawning output by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts9_Relative_spawning_output.png","Relative spawning output: B/B_0",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts10_Relative_spawning_output.png","Relative spawning output: B/B_0 by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts2_Total_biomass_(mt)_by_area.png","Total biomass (mt) by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts5_Summary_biomass_(mt)_by_area.png","Summary biomass (mt) by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts12_Age-0_recruits_(1000s)_by_area.png","Age-0 recruits (1,000s) by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts13_Fraction_of_total_Age-0_recruits_by_area.png","Fraction of total Age-0 recruits by area",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)",NA,"Timeseries",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"recdevs1_points.png","Recruitment deviations",NA,"RecDev",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"SR_curve.png","Stock-recruit curve.  Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"SR_curve2.png","Stock-recruit curve with labels on first, last, and years with (log) deviations > 0.5. Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"SR_resids.png","Deviations around the stock-recruit curve. Labels are on first, last, and years with (log) deviations > 0.5. Point colors indicate year, with warmer colors indicating earlier years and cooler colors in showing later years.",NA,"S-R",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"catch1 landings.png","landings",NA,"Catch",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"catch2 landings stacked.png","landings stacked",NA,"Catch",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
"catch9 harvest rate.png","harvest rate",NA,"Catch",2023-04-03 12:04:59,"StartTime: Mon Apr 3 11:47:37 2023"
